etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.024084,0.75
ASTN,ASTS,-1.999315,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.002674,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.988815,0.75
CBRZ,CBRS,-2.0,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.006581,0.75
CONI,COIN,-1.924365,0.75
CRCD,CRCL,-1.994548,0.75
CORD,CRWV,-2.004553,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.001781,0.75
SDOW,DIA,-2.998668,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-2.002026,0.75
BTCZ,IBIT,-1.995335,0.75
IONZ,IONQ,-2.020917,0.75
IREZ,IREN,-2.009474,0.75
TWM,IWM,-2.0013,0.75
TZA,IWM,-2.994793,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.004226,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.977324,0.75
MSTZ,MSTR,-1.992557,0.75
SMST,MSTR,-1.967469,0.75
MUZ,MU,-2.0,0.75
NBIZ,NBIS,-2.033735,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.000837,0.75
NVDS,NVDA,-1.493656,0.75
OKLS,OKLO,-1.997723,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-1.99645,0.75
QID,QQQ,-1.99489,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.984831,0.75
RKLZ,RKLB,-2.00384,0.75
SMCZ,SMCI,-2.001044,0.75
SNDQ,SNDK,-2.016407,0.75
HIBS,SPHB,-3.004375,0.75
SPXS,SPY,-2.994255,0.75
SPXU,SPY,-2.992209,0.75
UVIX,SVIX,-1.976054,0.75
TBT,TLT,-1.999329,0.75
TBX,TLT,-1.370163,0.75
TMV,TLT,-2.990213,0.75
TSDD,TSLA,-2.008619,0.75
STSM,TSM,-1.997225,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.737927,0.75
DUG,XLE,-1.990462,0.75
SKF,XLF,-1.996912,0.75
FNGD,XLK,-2.905558,0.75
REW,XLK,-2.004732,0.75
TECS,XLK,-2.996648,0.75
WEBS,XLK,-2.770626,0.75
DRIP,XOP,-1.996826,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
