symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed
MTYY,0.0,-164734.2408,-164734.2408,164734.2408,0.0,164734.2408,164734.2408,False
MUYY,-289484.8573102821,-169896.0,119588.85731028212,119588.85731028212,289484.8573102821,169896.0,-119588.85731028212,True
MAAY,-213086.861944753,-97481.774,115605.087944753,115605.087944753,213086.861944753,97481.774,-115605.087944753,True
RTYY,0.0,-115407.32,-115407.32,115407.32,0.0,115407.32,115407.32,False
SMYY,-229109.6983186925,-126592.56,102517.13831869251,102517.13831869251,229109.6983186925,126592.56,-102517.13831869251,True
IOYY,-230826.7205525008,-134249.5035,96577.21705250081,96577.21705250081,230826.7205525008,134249.5035,-96577.21705250081,True
XBTY,0.0,-95211.7601,-95211.7601,95211.7601,0.0,95211.7601,95211.7601,False
QBY,0.0,-72899.7423,-72899.7423,72899.7423,0.0,72899.7423,72899.7423,False
TMYY,0.0,-62386.35,-62386.35,62386.35,0.0,62386.35,62386.35,False
FBYY,0.0,-61122.0,-61122.0,61122.0,0.0,61122.0,61122.0,False
AMYY,-160509.4941587597,-105865.29680000001,54644.1973587597,54644.1973587597,160509.4941587597,105865.29680000001,-54644.1973587597,True
BBYY,0.0,-51976.905,-51976.905,51976.905,0.0,51976.905,51976.905,False
CWY,0.0,-28369.764,-28369.764,28369.764,0.0,28369.764,28369.764,False
HMYY,0.0,-28021.58,-28021.58,28021.58,0.0,28021.58,28021.58,False
HOYY,-87437.9241734055,-113794.095,-26356.170826594505,26356.170826594505,87437.9241734055,113794.095,26356.170826594505,False
SEMY,0.0,-23959.199999999997,-23959.199999999997,23959.199999999997,0.0,23959.199999999997,23959.199999999997,False
CBRZ,0.0,-22621.5,-22621.5,22621.5,0.0,22621.5,22621.5,False
COYY,-116360.86687601026,-130749.9771,-14389.110223989745,14389.110223989745,116360.86687601026,130749.9771,14389.110223989745,False
BEZ,0.0,-12719.400000000001,-12719.400000000001,12719.400000000001,0.0,12719.400000000001,12719.400000000001,False
AMZO,0.0,-9398.8167,-9398.8167,9398.8167,0.0,9398.8167,9398.8167,False
DUST,0.0,-8892.16,-8892.16,8892.16,0.0,8892.16,8892.16,False
LITZ,-8779.065356225106,0.0,8779.065356225106,8779.065356225106,8779.065356225106,0.0,-8779.065356225106,True
ASTN,-7775.631967225523,-15087.54,-7311.908032774478,7311.908032774478,7775.631967225523,15087.54,7311.908032774478,False
CORD,-4905.9954868493,-11994.480000000001,-7088.484513150702,7088.484513150702,4905.9954868493,11994.480000000001,7088.484513150702,False
SNDQ,-7074.321668257932,0.0,7074.321668257932,7074.321668257932,7074.321668257932,0.0,-7074.321668257932,True
ZSL,0.0,-6512.219999999999,-6512.219999999999,6512.219999999999,0.0,6512.219999999999,6512.219999999999,False
SDS,0.0,-5737.76,-5737.76,5737.76,0.0,5737.76,5737.76,False
CRCD,0.0,-5185.179999999999,-5185.179999999999,5185.179999999999,0.0,5185.179999999999,5185.179999999999,False
QBTZ,-8687.059594617587,-13838.220000000001,-5151.160405382414,5151.160405382414,8687.059594617587,13838.220000000001,5151.160405382414,False
IREZ,-6380.477272323218,-11398.34,-5017.862727676782,5017.862727676782,6380.477272323218,11398.34,5017.862727676782,False
TSLQ,0.0,-4582.36,-4582.36,4582.36,0.0,4582.36,4582.36,False
RKLZ,-1555.9079087226164,-6133.549999999999,-4577.642091277383,4577.642091277383,1555.9079087226164,6133.549999999999,4577.642091277383,False
FAZ,0.0,-3535.8399999999997,-3535.8399999999997,3535.8399999999997,0.0,3535.8399999999997,3535.8399999999997,False
LABD,0.0,-3356.1,-3356.1,3356.1,0.0,3356.1,3356.1,False
NVDQ,0.0,-3303.2999999999997,-3303.2999999999997,3303.2999999999997,0.0,3303.2999999999997,3303.2999999999997,False
CLSX,-5533.54452170143,-8803.199999999999,-3269.6554782985686,3269.6554782985686,5533.54452170143,8803.199999999999,3269.6554782985686,False
SQQQ,0.0,-3167.5,-3167.5,3167.5,0.0,3167.5,3167.5,False
NBIZ,-9701.61469664684,-12729.007,-3027.392303353159,3027.392303353159,9701.61469664684,12729.007,3027.392303353159,False
CCUP,-2672.6725769034174,-5579.4,-2906.7274230965822,2906.7274230965822,2672.6725769034174,5579.4,2906.7274230965822,False
IREG,-8301.418232065676,-11035.529999999999,-2734.1117679343224,2734.1117679343224,8301.418232065676,11035.529999999999,2734.1117679343224,False
NVTX,-16226.155830896434,-13748.400000000001,2477.7558308964326,2477.7558308964326,16226.155830896434,13748.400000000001,-2477.7558308964326,True
MSDD,0.0,-2437.29,-2437.29,2437.29,0.0,2437.29,2437.29,False
DAMD,0.0,-2234.28,-2234.28,2234.28,0.0,2234.28,2234.28,False
MSTZ,-1309.48142966172,-3318.0,-2008.51857033828,2008.51857033828,1309.48142966172,3318.0,2008.51857033828,False
RDWU,0.0,-1975.18,-1975.18,1975.18,0.0,1975.18,1975.18,False
CRMU,-26250.178079959616,-24305.0,1945.1780799596163,1945.1780799596163,26250.178079959616,24305.0,-1945.1780799596163,True
EWV,0.0,-1785.6,-1785.6,1785.6,0.0,1785.6,1785.6,False
RKLX,-3366.715051397654,-5105.8,-1739.0849486023462,1739.0849486023462,3366.715051397654,5105.8,1739.0849486023462,False
GLXU,-4714.552512033863,-6452.97,-1738.4174879661368,1738.4174879661368,4714.552512033863,6452.97,1738.4174879661368,False
CRDU,-5129.378442551482,-6848.64,-1719.261557448518,1719.261557448518,5129.378442551482,6848.64,1719.261557448518,False
HLXX,0.0,-1687.28,-1687.28,1687.28,0.0,1687.28,1687.28,False
NETG,-468.39985659960007,-2115.75,-1647.3501434004,1647.3501434004,468.39985659960007,2115.75,1647.3501434004,False
USGG,-5043.493719980749,-3446.0748000000003,1597.4189199807488,1597.4189199807488,5043.493719980749,3446.0748000000003,-1597.4189199807488,True
OSCX,-1918.355107053443,-3216.2976,-1297.942492946557,1297.942492946557,1918.355107053443,3216.2976,1297.942492946557,False
IREX,-6848.691087623288,-8145.11,-1296.418912376712,1296.418912376712,6848.691087623288,8145.11,1296.418912376712,False
PLU,-2606.473936487899,-3888.75,-1282.2760635121008,1282.2760635121008,2606.473936487899,3888.75,1282.2760635121008,False
EOSU,-10060.943337713325,-11307.45,-1246.5066622866761,1246.5066622866761,10060.943337713325,11307.45,1246.5066622866761,False
RCAX,-12350.232858513496,-11110.94,1239.292858513496,1239.292858513496,12350.232858513496,11110.94,-1239.292858513496,True
LUNL,-9717.26079665784,-8518.37,1198.890796657839,1198.890796657839,9717.26079665784,8518.37,-1198.890796657839,True
UECG,-3478.371121779356,-2351.3599999999997,1127.0111217793565,1127.0111217793565,3478.371121779356,2351.3599999999997,-1127.0111217793565,True
GEMG,-2064.4699346042808,-3185.5879000000004,-1121.1179653957197,1121.1179653957197,2064.4699346042808,3185.5879000000004,1121.1179653957197,False
UVIX,-3033.301913948186,-4112.12,-1078.8180860518137,1078.8180860518137,3033.301913948186,4112.12,1078.8180860518137,False
SNDU,-5206.454938644865,-6271.200000000001,-1064.7450613551355,1064.7450613551355,5206.454938644865,6271.200000000001,1064.7450613551355,False
CIFG,-4803.970667963032,-3753.983,1049.9876679630315,1049.9876679630315,4803.970667963032,3753.983,-1049.9876679630315,True
SMCL,-2381.6728193794647,-1339.6,1042.0728193794648,1042.0728193794648,2381.6728193794647,1339.6,-1042.0728193794648,True
FGRU,-2837.036339890393,-1800.5800000000002,1036.4563398903927,1036.4563398903927,2837.036339890393,1800.5800000000002,-1036.4563398903927,True
PLUL,-2906.1505683045425,-1905.3468,1000.8037683045425,1000.8037683045425,2906.1505683045425,1905.3468,-1000.8037683045425,True
PAAU,0.0,-992.6809999999999,-992.6809999999999,992.6809999999999,0.0,992.6809999999999,992.6809999999999,False
ONDL,-5410.33524804324,-4421.76,988.5752480432402,988.5752480432402,5410.33524804324,4421.76,-988.5752480432402,True
LRCU,0.0,-975.1500000000001,-975.1500000000001,975.1500000000001,0.0,975.1500000000001,975.1500000000001,False
CLSZ,-6478.688638900307,-5523.19,955.498638900307,955.498638900307,6478.688638900307,5523.19,-955.498638900307,True
GLGG,-1286.775740243158,-2152.084,-865.3082597568418,865.3082597568418,1286.775740243158,2152.084,865.3082597568418,False
ALBG,-149.95604109552872,-992.628,-842.6719589044714,842.6719589044714,149.95604109552872,992.628,842.6719589044714,False
CVNX,0.0,-810.5151999999999,-810.5151999999999,810.5151999999999,0.0,810.5151999999999,810.5151999999999,False
PONX,-1047.6927177290731,-1855.8150000000003,-808.1222822709271,808.1222822709271,1047.6927177290731,1855.8150000000003,808.1222822709271,False
SOXS,0.0,-808.11,-808.11,808.11,0.0,808.11,808.11,False
NBIG,-7547.489374597008,-6770.280000000001,777.2093745970069,777.2093745970069,7547.489374597008,6770.280000000001,-777.2093745970069,True
UUUG,-5964.876056942191,-5200.780000000001,764.0960569421904,764.0960569421904,5964.876056942191,5200.780000000001,-764.0960569421904,True
HUTG,-7480.445009928182,-6720.0848,760.3602099281825,760.3602099281825,7480.445009928182,6720.0848,-760.3602099281825,True
RGTX,-4380.430133275573,-3632.7200000000003,747.7101332755728,747.7101332755728,4380.430133275573,3632.7200000000003,-747.7101332755728,True
