symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
DUST,flow_program,12331.918512,12331.918512,1
SOXS,flow_program,10909.385748799998,10909.385748799998,1
FAZ,flow_program,10893.516570799999,10893.516570799999,1
LABD,flow_program,10609.4684115,10609.4684115,1
SQQQ,flow_program,9989.238625519998,9989.238625519998,1
ZSL,flow_program,9881.21862,9881.21862,1
TSLQ,flow_program,9377.401849200001,9377.401849200001,1
SDS,flow_program,9062.90198886,9062.90198886,1
NVDQ,flow_program,8399.18642914,8399.18642914,1
TSYY,flow_program,-11.103867059999999,11.103867059999999,1
NVYY,flow_program,-15.534756186200001,15.534756186200001,1
TQQY,flow_program,-58.787383104,58.787383104,1
