bucket,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
bucket_2,25363.567521009998,67111.282041,-11.729999999999999,0.0,-37265.1,-4569.71,2696.631457885202,0.0,0.0,53324.9410198952
bucket_1,-11344.79591125001,42911.847715,658.7310080707776,-15.7,-732.16,-17083.94,1796.2811343824253,-1.82,0.0,16188.443946203199
bucket_4,676.78988399,12306.098874,30.728991929222406,0.0,0.0,-494.71,160.15408355586527,0.0,0.0,12679.061833475089
bucket_3,-383.08518752000003,9657.278382,0.0,0.0,-215.67000000000002,-1378.62,107.86332417650776,0.0,0.0,7787.766518656506
