underlying,symbols,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
COIN,"COIW, CONY, COYY",3446.44012342,11662.587939,0.0,0.0,-3204.3199999999997,-330.96000000000004,248.07366842794576,0.0,0.0,11821.821730847945
MSTR,"MSTW, MSTY, MTYY",2327.40977287,21089.305082,-0.37,0.0,-13349.240000000002,-1399.75,296.6830603428397,0.0,0.0,8964.037915212837
HOOD,"HOOW, HOOY, HOYY",3634.72010886,122.67723,0.0,0.0,-1524.74,-555.3000000000001,102.35024951933512,0.0,0.0,1779.707588379335
BABA,"BABO, BBYY",306.03432341,1896.023169,0.0,0.0,-658.3199999999999,-95.63,134.92241713890542,0.0,0.0,1583.0299095489054
AMZN,"AMZW, AMZY, AZYY",1775.56610859,0.0,0.0,0.0,-240.12,-24.439999999999998,0.0,0.0,0.0,1511.00610859
MSFT,"MSFO, MSFW",1690.03038577,0.0,0.0,0.0,-264.38,-35.21,0.0,0.0,0.0,1390.44038577
IBIT,XBTY,114.37264605,4811.003375,-1.73,0.0,-3548.29,-271.57,165.37027491665864,0.0,0.0,1269.1562959666596
PYPL,PYPY,1294.27550389,0.0,0.0,0.0,-91.03,-11.91,0.0,0.0,0.0,1191.33550389
XYZ,XYZY,1112.99321044,0.0,0.0,0.0,-145.5,-9.73,0.0,0.0,0.0,957.76321044
CVNA,CVNY,1060.05958389,0.0,0.0,0.0,-140.7,-23.330000000000002,0.0,0.0,0.0,896.02958389
PLTR,PLTW,1164.61353691,0.0,0.0,0.0,-381.96999999999997,-10.21,0.0,0.0,0.0,772.4335369099999
AI,AIYY,1000.80526146,0.0,0.0,0.0,-237.28,-30.04,0.0,0.0,0.0,733.4852614600001
RDDT,RDYY,806.40119775,0.0,0.0,0.0,-105.7,-10.620000000000001,0.0,0.0,0.0,690.08119775
SNOW,SNOY,734.35125347,0.0,0.0,0.0,-114.75,-12.7,0.0,0.0,0.0,606.9012534699999
TSLA,"TSLW, TSLY, TSYY",975.26873331,15.106031,0.0,0.0,-362.95,-46.97,0.3787020999833776,0.0,0.0,580.8334664099834
RBLX,RBLY,751.03208154,0.0,0.0,0.0,-167.32,-8.18,0.0,0.0,0.0,575.5320815400001
ABNB,ABNY,531.49797475,0.0,0.0,0.0,-99.24000000000001,-11.59,0.0,0.0,0.0,420.66797475000004
QQQ,"JEPQ, QQQX, QYLD, QYLG, TQQY",549.2622957,-22.158381,0.0,0.0,-196.8,-51.68,1.554585179124868,0.0,0.0,280.1784998791249
GOOGL,GOOY,270.42614422,0.0,0.0,0.0,-118.94,-13.03,0.0,0.0,0.0,138.45614422000003
META,"FBY, FBYY, METW",198.95805113999998,2245.238658,0.0,0.0,-2293.62,-193.92000000000002,144.65114350054736,0.0,0.0,101.30785264054745
DKNG,DRAY,194.9998085,0.0,0.0,0.0,-88.37,-14.9,0.0,0.0,0.0,91.72980849999999
CRWV,CWY,0.0,-25.674921,0.0,0.0,0.0,0.0,56.83801396503624,0.0,0.0,31.16309296503624
HIMS,HMYY,0.0,715.084159,0.0,0.0,-737.6700000000001,-54.86,63.59507800680172,0.0,0.0,-13.850762993198352
NVDA,"NVDY, NVYY",251.50770995,9.430019,0.0,0.0,-285.2,-19.37,0.43031005512593995,0.0,0.0,-43.20196099487405
MU,MUYY,0.0,-117.249991,0.0,0.0,0.0,0.0,66.27286749709108,0.0,0.0,-50.97712350290891
SPY,"JEPI, SPYI, XYLD, XYLG",2.126764219999991,0.0,-0.34,0.0,-64.38,-26.28,0.0,0.0,0.0,-88.87323578000002
AAPL,APLY,37.66504405,0.0,0.0,0.0,-116.11,-25.32,0.0,0.0,0.0,-103.76495595
TSM,"TMYY, TSMY",-245.61204713,-16.594722,0.0,0.0,-138.64,-10.64,19.69812443716987,0.0,0.0,-391.78864469283013
ARM,ARMW,-237.86817473,0.0,0.0,0.0,-140.34,-15.81,0.0,0.0,0.0,-394.01817473
XOM,XOMO,-255.23719707,0.0,0.0,0.0,-163.23,-23.080000000000002,0.0,0.0,0.0,-441.54719707
NFLX,"NFLW, NFLY",13.019882290000055,0.0,0.0,0.0,-461.23,-34.870000000000005,0.0,0.0,0.0,-483.08011770999997
RIOT,RTYY,1382.57748341,-1661.137155,0.0,0.0,-738.18,-183.19,228.9841835589147,0.0,0.0,-970.945488031085
MARA,"MAAY, MARO",979.7263744200001,8974.145547,-9.29,0.0,-10223.21,-972.05,156.43878176894725,0.0,0.0,-1094.2392968110537
QBTS,QBY,0.0,-689.513192,0.0,0.0,-758.08,-176.35,162.99249584171474,0.0,0.0,-1460.9506961582852
SMCI,SMYY,0.0,-3100.38028,0.0,0.0,-2058.55,-467.26,328.61819879546556,0.0,0.0,-5297.572081204535
AMD,"AMDY, AMYY",12.057252489999996,-3113.499508,0.0,0.0,-2243.84,-664.02,238.1859394190832,0.0,0.0,-5771.116316090917
IONQ,IOYY,0.0,-1848.686496,0.0,0.0,-5576.53,-819.61,368.1851770234323,0.0,0.0,-7876.641318976567
