ETF,Underlying,Leverage,ExpectedLeverage,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike
ZETX,ZETA,2.0,2.0,2.028477031652389,10.0,ols_short_history,0.124672,-0.08827199999999999,0.212944,9000,0.212944,False,False,False,,False,True,False,False,False,False,True,False,False
LITX,LITE,2.0,2.0,1.915617447648136,16.0,ols_short_history,0.08304299999999999,-0.046643,0.129686,150000,0.129686,False,False,False,,False,True,False,False,False,False,True,False,False
SNXX,SNDX,2.0,2.0,2.4611472112500974,16.0,ols_short_history,0.11402100000000001,-0.077621,0.191642,1300000,0.191642,False,False,False,,False,True,False,False,False,False,True,False,False
WDCX,WDC,2.0,2.0,2.0952957933539538,15.0,ols_short_history,0.107081,-0.07068100000000001,0.177762,45000,0.177762,False,False,False,,False,True,False,False,False,False,True,False,False
LNOK,NOK,2.0,2.0,1.9547441615080197,20.0,ols_short_history,0.10291399999999999,-0.066514,0.169428,700,0.169428,False,False,False,,False,True,False,False,False,False,True,True,False
USGG,USAR,2.0,2.0,2.023155163920455,24.0,ols_short_history,0.299451,-0.263051,0.5625020000000001,100000,0.5625020000000001,False,False,False,,False,True,False,False,False,False,True,False,False
ONDG,ONDS,2.0,2.0,2.0006729571994364,25.0,ols_short_history,0.217037,-0.18063700000000002,0.397674,25000,0.397674,False,False,False,,False,True,False,False,False,False,True,False,False
PLUL,PLUG,2.0,2.0,2.004000263663924,25.0,ols_short_history,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False
ALBG,ALB,2.0,2.0,1.995406713193872,25.0,ols_short_history,0.09363300000000001,-0.057233,0.150866,1000,0.150866,False,False,False,,False,True,False,False,False,False,True,False,False
UUUG,UUUU,2.0,2.0,2.0084353974711657,24.0,ols_short_history,0.090307,-0.053907,0.144214,35000,0.144214,False,False,False,,False,True,False,False,False,False,True,False,False
HUTG,HUT,2.0,2.0,1.998906739322553,25.0,ols_short_history,0.093249,-0.056849,0.150098,4000,0.150098,False,False,False,,False,True,False,False,False,False,True,False,False
XPEG,XPEV,2.0,2.0,1.977703385759987,22.0,ols_short_history,0.10066000000000001,-0.06426,0.16492,3000,0.16492,False,False,False,,False,True,False,False,False,False,True,False,False
ORLG,ORLY,2.0,2.0,2.016960984716143,22.0,ols_short_history,0.117906,-0.08150600000000001,0.199412,100,0.199412,False,False,False,,False,True,False,False,False,False,True,True,False
LUNL,LUNR,2.0,2.0,2.0223642926947165,25.0,ols_short_history,0.300398,-0.263998,0.564396,10000,0.564396,False,False,False,,False,True,False,False,False,False,True,False,False
RKTL,RKT,2.0,2.0,1.936641223483353,24.0,ols_short_history,0.034379,0.0020210000000000002,0.032358,6000,0.032358,False,False,False,,True,False,False,False,True,False,False,False,False
EOSU,EOS,2.0,2.0,5.267568739689195,24.0,ols_short_history,0.180229,-0.14382899999999998,0.32405799999999996,35000,0.32405799999999996,False,False,False,,False,True,False,False,False,False,True,False,False
BTFL,BITF,2.0,2.0,2.01543355591137,34.0,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False
FGRU,FIGR,2.0,2.0,2.0,1.0,imputed_no_overlap,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False
APHU,APH,2.0,2.0,2.0,1.0,imputed_no_overlap,,,,100,,False,False,False,,False,True,False,False,False,False,True,True,False
COPZ,COPX,2.0,2.0,2.161623163748949,2.0,ols_short_history,0.0025,0.0339,0.0,200,0.0,False,False,False,,True,False,False,False,True,False,False,True,False
LEUX,LEU,2.0,2.0,2.0,0.0,imputed_missing_prices,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False
COHX,COHR,2.0,2.0,2.0,0.0,imputed_missing_prices,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False
CLSZ,CLSK,2.0,2.0,2.0,0.0,imputed_missing_prices,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False
AXPG,AXP,2.0,2.0,2.0,0.0,imputed_missing_prices,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False
FCXG,FCX,2.0,2.0,2.0,0.0,imputed_missing_prices,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False
KORU,EWY,2.0,2.0,2.8525905009007317,3235.0,ols,0.09364900000000001,-0.057249,0.150898,10000,0.150898,False,False,False,,False,True,False,False,False,False,True,False,False
AALG,AAL,2.0,2.0,1.986599899782248,153.0,ols,0.136509,-0.10010899999999999,0.236618,600,0.236618,False,False,False,,False,True,False,False,False,False,True,True,False
ABNG,ABNB,2.0,2.0,2.001182732593192,63.0,ols,0.258523,-0.222123,0.480646,1000,0.480646,False,False,False,,False,True,False,False,False,False,True,False,False
ADBG,ADBE,2.0,2.0,1.986599765662742,229.0,ols,0.099695,-0.063295,0.16299000000000002,250000,0.16299000000000002,False,False,False,,False,True,False,False,False,False,True,False,False
AMDG,AMD,2.0,2.0,2.002784770092972,268.0,ols,0.047473999999999995,-0.011073999999999999,0.058547999999999996,20000,0.058547999999999996,False,False,False,,True,False,False,False,True,False,False,False,False
ARMG,ARM,2.0,2.0,1.9973840674162084,275.0,ols,0.173002,-0.136602,0.309604,400000,0.309604,False,False,False,,False,True,False,False,False,False,True,False,False
ASMG,ASML,2.0,2.0,1.981531263952771,275.0,ols,0.124308,-0.08790800000000001,0.21221600000000002,45000,0.21221600000000002,False,False,False,,False,True,False,False,False,False,True,False,False
AVGG,AVGO,2.0,2.0,2.001111600271717,189.0,ols,0.051697,-0.015297,0.066994,300000,0.066994,False,False,False,,True,False,False,False,True,False,False,False,False
BAIG,BBAI,2.0,2.0,2.009860604104325,124.0,ols,0.16345400000000002,-0.127054,0.290508,25000,0.290508,False,False,False,,False,True,False,False,False,False,True,False,False
BEG,BE,2.0,2.0,2.012935475599629,42.0,ols,0.295865,-0.259465,0.55533,200,0.55533,False,False,False,,False,True,False,False,False,False,True,True,False
BIDG,BIDU,2.0,2.0,2.0097529745838827,40.0,ols,0.119151,-0.082751,0.20190200000000003,4000,0.20190200000000003,False,False,False,,False,True,False,False,False,False,True,False,False
BLSG,BLSH,2.0,2.0,2.0244002802824137,78.0,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False
BMNG,BMNR,2.0,2.0,1.9956978528846137,78.0,ols,0.120134,-0.083734,0.203868,500000,0.203868,False,False,False,,False,True,False,False,False,False,True,False,False
BOEG,BA,2.0,2.0,1.993290223698697,171.0,ols,0.044364,-0.007964,0.052328,25000,0.052328,False,False,False,,True,False,False,False,True,False,False,False,False
BULG,BULL,2.0,2.0,1.9856510459570365,131.0,ols,0.08554500000000001,-0.049145,0.13469,200000,0.13469,False,False,False,,False,True,False,False,False,False,True,False,False
CIFG,CIFR,2.0,2.0,1.9922654505097572,46.0,ols,0.150951,-0.114551,0.265502,1000,0.265502,False,False,False,,False,True,False,False,False,False,True,False,False
