etf,underlying,n_obs_decay,n_obs_beta,mu_used,sigma_eff,w_pre,q_prior,haircut_factor,ema_applied,prev_w_book
AMUU,AMD,479.0,272.0,0.2751193653015593,0.09050764108063601,1.0639077176893437,0.005759383176509203,1.0,True,0.0041562381348133025
AMZU,AMZN,479.0,500.0,0.0575473114190312,0.07222930980907596,0.2788557588311613,0.001509564353544669,1.0,True,0.0024944306406881425
AVL,AVGO,479.0,391.0,0.14193002958666515,0.08054428922521528,0.6167477649027577,0.003338716922784641,1.0,True,0.0037748203598520916
BOEU,BA,479.0,259.0,0.056036025420904245,0.07743705642137108,0.2532716221881569,0.0013710665837500734,1.0,True,0.00426034199342585
METU,META,479.0,478.0,0.0716256857559883,0.07222930980907596,0.3470750320176237,0.00187886417886892,1.0,True,0.0029611888024786374
MSFU,MSFT,479.0,500.0,0.04823848087267585,0.07222930980907596,0.23374816054680142,0.0012653778152085162,1.0,True,0.007320701769269631
MUU,MU,479.0,391.0,0.3361328214855118,0.0842085643565667,1.3970845889472154,0.00756301072354131,1.0,True,0.008170986204298201
NFXL,NFLX,479.0,396.0,0.0669123802854654,0.1127862941977576,0.2076434310258463,0.0011240618556280697,1.0,True,0.004509775663896134
NVDU,NVDA,479.0,500.0,0.07817586340672605,0.07222930980907596,0.3788150857965973,0.002050686535936824,1.0,True,0.0035230258151002698
PALU,PANW,479.0,277.0,0.09066673809946879,0.07222930980907596,0.4393418463874983,0.0023783435318207704,1.0,True,0.0069325082303611325
PLTU,PLTR,479.0,348.0,0.23102725630537013,0.08305805358030326,0.9735303949628662,0.005270132442263843,1.0,True,0.005562064040830067
QCMU,QCOM,479.0,216.0,0.10883546352386515,0.09321616268776084,0.40864600231344095,0.0022121739242416125,1.0,True,0.004007713220596667
SHPU,SHOP,479.0,187.0,0.14027690263653056,0.11217892146930478,0.43766614333353127,0.0023692722413156094,1.0,True,0.0011034472110953738
TSLL,TSLA,479.0,500.0,0.1580532620485523,0.0743531801105724,0.7439983284471171,0.0040275781300991445,1.0,True,0.005376213191216751
YINN,FXI,479.0,500.0,0.08733556158376454,0.11875971026304041,0.2573890293822195,0.0013933558531387994,1.0,True,0.002490901431814101
SOXL,SOXX,479.0,500.0,0.1670823086679004,0.13996306089575744,0.41781601273581276,0.0022618150753272778,1.0,True,0.0006527005369350268
CWEB,KWEB,479.0,500.0,0.09630559749266826,0.07222930980907596,0.4666659450509999,0.002526260453128225,1.0,True,0.012486552735327188
NUGT,GDX,479.0,500.0,0.21366173847328185,0.07222930980907596,1.0353360521278576,0.005604712647079207,1.0,True,0.013353326125549224
JNUG,GDXJ,479.0,500.0,0.2186567546505033,0.07666177352407151,0.9982793328365415,0.005404108927306823,1.0,True,0.009803819991991976
URAA,URA,479.0,465.0,0.19744525648985495,0.09936660266578654,0.6954634446332283,0.0037648382432989604,1.0,True,0.003841978365485755
MSTU,MSTR,479.0,407.0,0.04860120962363255,0.1437967108640899,0.1182949405869851,0.0006403806263973132,1.0,True,0.00064516133587123
NVDX,NVDA,479.0,500.0,-0.0317510768191177,0.08240689132895936,0.0,0.0,1.0,True,0.0
TSLT,TSLA,479.0,500.0,0.11761906394968695,0.07967042086136995,0.5167121239891811,0.0027971816206625068,1.0,True,0.002957055322724098
BTCL,IBIT,479.0,456.0,0.15492964304440388,0.07672393881233974,0.7067595317045966,0.00382598874795036,1.0,True,0.008298060533970676
ETU,ETHA,426.0,381.0,0.47839509455222917,0.08886418104252974,1.8842044244254665,0.010199996750384447,1.0,True,0.015533732446948513
CRWU,CRWV,255.0,194.0,0.6554424474943819,0.14207751986394038,1.6146457007605548,0.008740761186675241,1.0,True,0.0040382327956617736
GOOX,GOOGL,479.0,500.0,0.0774250556508019,0.07669347202684702,0.3533386709666055,0.0019127719099499975,1.0,True,0.005664281075984184
NFLU,NFLX,479.0,400.0,0.0687560873112501,0.07548189644801462,0.3188132743261315,0.0017258713120247224,1.0,True,0.006176791678144163
ROBN,HOOD,479.0,315.0,0.33214377037951576,0.09902923144902256,1.173899039019331,0.006354812794226217,1.0,True,0.005036052564937059
DJTU,DJT,479.0,294.0,-0.1272064953654785,0.14571914904359562,0.0,0.0,1.0,True,0.0
RBLU,RBLX,479.0,294.0,0.2410510301158061,0.09550794126728426,0.8833596392201983,0.0047819999426093164,1.0,True,0.005030961205800362
SNOU,SNOW,479.0,258.0,0.24696544408900517,0.11769252308559974,0.7344383752252814,0.003975826053449455,1.0,True,0.007952775306115777
SMUP,SMR,479.0,193.0,-2.2612750763220313,2.8233686932845385,0.0,0.0,1.0,True,0.0
GLXU,GLXY,221.0,185.0,0.5884450202000081,0.12789244854857412,1.6103824690773663,0.008717682507551599,0.876984126984127,True,0.0056699251925252155
AFRU,AFRM,479.0,159.0,0.16215512327518866,0.14794000940206498,0.38363045518046207,0.002076754170334986,1.0,True,0.0007678116247664946
KTUP,KTOS,479.0,159.0,0.3322699451830031,0.131171956240842,0.8865803647886847,0.004799435094499726,1.0,True,0.0020386516578494653
TTDU,TTD,479.0,158.0,0.01750701558976845,0.13752641875697275,0.04455475182006285,0.00024119374622390055,1.0,True,0.0006451612841027356
SBTU,SBET,479.0,134.0,0.4557526594970575,0.21259011151088397,0.7503332572258589,0.004061871783229051,1.0,True,0.0013628586060436011
GMEU,GME,479.0,258.0,-0.1702645040491855,0.12595621522411493,0.0,0.0,1.0,True,0.0
APPX,APP,479.0,257.0,0.4400149072507793,0.1087242334324377,1.4164755425336992,0.007667982169847781,1.0,True,0.009490158651723028
ARCX,ACHR,479.0,226.0,0.3064257399112558,0.12222984596422937,0.8774371604814589,0.004749939056271156,1.0,True,0.0022076298433283295
ASTX,ASTS,479.0,205.0,0.8987108448318196,0.11314603794313569,2.7800248370095035,0.015049452137939545,1.0,True,0.01703510965747445
CEGX,CEG,479.0,205.0,0.1069001493516461,0.1051410726660704,0.3558557215019757,0.0019263977707899957,1.0,True,0.0016344666999075343
CLSX,CLSK,479.0,159.0,0.7390977305675289,0.14010387244016304,1.8463744163039928,0.009995206890587941,1.0,True,0.006347617456738872
COZX,CORZ,479.0,123.0,0.41030975285684074,0.14200676156011632,1.0112787019588494,0.005474480019257219,1.0,True,0.0022678113944697782
CRDU,CRDO,479.0,159.0,0.682282240577121,0.1410938247861768,1.6924821803072125,0.00916212302414113,1.0,True,0.007817893801609731
CWVX,CRWV,255.0,205.0,0.8020917378465484,0.13741362885324965,2.0429713601850854,0.011059469431704789,1.0,True,0.012718467498443974
