source_detail_date,ETF,Underlying,inverse_etf_short_usd,underlying_short_usd
2026-07-22,CONI,COIN,8753.4466572672,8753.4466572672
2026-07-22,CORD,CRWV,45886.06183889,0.4296131768219756
2026-07-22,DAMD,AMD,13253.655612599998,2069.2450558671217
2026-07-22,IREZ,IREN,448.540946349054,0.0
2026-07-22,LITZ,LITE,21083.56411392,15913.64
2026-07-22,MSTZ,MSTR,9109.5123684,9109.5123684
2026-07-22,MUZ,MU,4231.5,4231.5
2026-07-22,NBIZ,NBIS,22843.51663494744,22843.51663494744
2026-07-22,QBTZ,QBTS,72046.06820768,0.0
2026-07-22,RKLZ,RKLB,26448.760786,13547.52
2026-07-22,SNDQ,SNDK,37764.2245266,37764.2245266
2026-07-22,SPCG,SPCX,495.36,2453.733455219492
2026-07-22,SSPC,SPCX,2787.68,2453.733455219492
2026-07-22,UVIX,SVIX,29307.164608236,31341.15
