symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,23526.391246400002,23526.391246400002,1
ZSL,flow_program,11326.33116576,11326.33116576,1
DUST,flow_program,11048.9295752,11048.9295752,1
TSLQ,flow_program,10947.298362,10947.298362,1
SQQQ,flow_program,10845.366152159999,10845.366152159999,1
FAZ,flow_program,10363.593163,10363.593163,1
SDS,flow_program,9647.96411904,9647.96411904,1
SOXS,flow_program,8995.531608,8995.531608,1
LABD,flow_program,8879.732085839998,8879.732085839998,1
NVDQ,flow_program,8566.8538368,8566.8538368,1
EWV,flow_program,823.0535467218,823.0535467218,1
TSYY,flow_program,-34.15783805,34.15783805,1
NVYY,flow_program,-46.5304782605,46.5304782605,1
TQQY,flow_program,-214.7909311044,214.7909311044,1
