underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
CRML,"CRML, CRMU",1951.024376819998,32872.25562318,2
TSLA,"TSLA, TSLI, TSLL, TSLR, TSYY",1622.1715309300007,33042.82846907,5
MARA,"MAAY, MARA, MARO",1157.2338332600007,17945.48616674,3
EOSE,"EOSE, EOSU",977.6540665600005,18062.34593344,2
LEU,"LEU, LEUX",821.7287927600009,17566.09120724,2
XRPZ,"UXRP, XRPZ, XXRP",777.0625570399989,34033.377442959994,3
NNE,"NNE, NNEX",753.6528251999989,20965.1471748,2
MSTR,"MSTR, MSTW, MTYY",748.5054620202009,33893.0945379798,3
UEC,"UEC, UECG",696.6226670999995,15192.6973329,2
RCAT,"RCAT, RCAX",633.7988521728012,16833.8811478272,2
QCOM,"QCMU, QCOM",586.8923112749999,14053.367688724999,2
QBTS,"QBTS, QBTX",473.1110087999987,17663.6889912,2
CEG,"CEG, CEGX",446.6897578199987,18633.910242179998,2
OKLO,"OKLL, OKLO",443.84661695999966,8967.33338304,2
AAPL,"AAPB, AAPL, AAPU",436.651831879999,30997.34816812,3
META,"FBL, FBYY, META",387.27739400599876,26065.022605994,3
GSOL,"GSOL, SOLX",380.83198076540066,23671.6480192346,2
SNOW,"SNOU, SNOW",379.9474971968011,14842.5325028032,2
SOEZ,"SOEZ, SOLT",373.39106084000014,16114.44733916,2
BABA,"BABA, BABX",356.2021346799984,13052.43786532,2
OPEN,"OPEG, OPEN",308.38654781939977,6562.1134521806,2
SMCI,"SMCI, SMCL",301.6446067200004,5275.17539328,2
SBET,"SBET, SBTU",299.4700992299995,13740.529900770001,2
URA,"URA, URAA",282.81291840000085,14773.4870816,2
ASML,"ASML, ASMU",271.5808327000004,15405.8191673,2
ETHA,"ETHA, ETHT, ETHU, ETU",237.7921294000007,49047.7078706,4
F,"F, FRDU",231.1785508112007,11058.4214491888,2
CRCL,"CRCG, CRCL",215.77165220000097,19361.188347799998,2
LLY,"ELIL, LLY",210.44365319120038,3513.9163468088,2
GDX,"GDX, GDXU, NUGT",208.46390784000323,36829.836092159996,3
ASHR,"ASHR, CHAU",199.80726974999925,14879.15273025,2
BULL,"BULG, BULL",196.10311350000006,3686.7368865,2
RTX,"RTX, RTXG",195.78656151559994,4158.4534384844,2
DNN,"DNN, DNNG",192.82662013899994,4183.633379861,2
NU,"NU, NUG",178.4994232120007,14565.800576788,2
KWEB,"CWEB, KWEB",177.3010702599995,14918.978929739998,2
MRNA,"MRNA, MRNX",171.9552721000009,15061.484727899999,2
PYPL,"PYPG, PYPL",168.6315734755999,4318.3684265244,2
LAC,"LAC, LACG",159.58530329280075,10845.2546967072,2
GRAB,"GRAB, GRAG",158.0824878000003,8005.1575121999995,2
LRCX,"LRCU, LRCX",155.71118920000026,4331.2888108,2
XBI,"LABU, XBI",153.72968639999976,4227.1703136,2
TTD,"TTD, TTDU",139.41500357999962,3710.7849964200004,2
MU,"MU, MUU",132.2458690000003,14970.954130999999,2
VRT,"VRT, VRTL",129.4569761999992,17182.3430238,2
HOOD,"HOOD, HOOW",126.68012439999893,8927.819875600002,2
IREN,"IREG, IREN",111.85928589599916,15113.380714104002,2
CRM,"CRM, CRMG",108.6747432000011,18553.2452568,2
CMG,"CMG, CMGG",108.17668915520062,13380.3033108448,2
ORLY,"ORLG, ORLY",106.26249006520038,4461.737509934799,2
ETOR,"ETOR, ETRL",101.53190606159978,5407.788093938401,2
UUUU,"UUUG, UUUU",97.6515624724002,6180.7484375276,2
XOM,"XOM, XOMX",90.66008480000164,19906.3599152,2
IBIT,"BITU, BITX, BTCL, IBIT, XBTY",90.54709035999986,67005.05290964001,5
RBLX,"RBLU, RBLX",87.9040409600002,14862.09595904,2
ISRG,"ISRG, ISUL",84.68408278649986,5350.7159172135,2
UPS,"UPS, UPSG",84.3613498799998,3428.15865012,2
ARM,"ARM, ARMG",71.25075250000032,3669.1092475000005,2
LMT,"LMT, LMTL",67.6744986000001,3698.5255014000004,2
FIG,"FIG, FIGG",66.07208395000089,12563.16791605,2
XLE,"ERX, XLE",65.73292727999979,20148.027072719997,2
U,"U, UNX",55.879020337500606,6283.0009796625,2
BE,"BE, BEX",54.88752674999978,6740.61247325,2
TEM,"TEM, TEMT",54.11904974999925,13896.75095025,2
XPEV,"XPEG, XPEV",53.19975908319998,4045.1602409168,2
GDXJ,"GDXJ, JNUG",43.092090599999665,4135.8479093999995,2
KTOS,"KTOS, KTUP",38.441012669999964,3847.3989873299997,2
COIN,"COIN, CONX",35.90272116000051,9423.81727884,2
NOW,"NOW, NOWL",35.851990000000114,3986.14801,2
BIDU,"BIDG, BIDU",35.34381308079992,4167.8361869192,2
PBR,"PBR, PBRG",35.242036783500225,6923.3179632165,2
SNAP,"SNAG, SNAP",34.65633845759976,3978.1436615424,2
ZETA,"ZETA, ZETX",22.110193080600084,4065.0898069194,2
ORCL,"ORCL, ORCU",17.552861220000068,4277.547138779999,2
ADBE,"ADBE, ADBG",15.070259139999962,3827.16974086,2
SNPS,"SNPS, SNPX",2.0152958799997123,3976.98470412,2
SHOP,"SHOP, SHPU",1.0209047040002588,4213.139095295999,2
AAL,"AAL, AALG",0.7399692800001958,4063.8200307200004,2
APP,"APP, APPX",-3.761512000000039,5749.921512,2
FCX,"FCX, FCXG",-4.645016231800128,4986.965016231799,2
DDOG,"DDOG, DOGD",-9.06062310399966,4204.500623104001,2
FXI,"FXI, YINN",-25.13272340000003,17836.092723399997,2
NOK,"LNOK, NOK",-27.1084056600007,4682.20840566,2
CLS,"CLS, CSEX",-32.15597145000015,3600.23597145,2
GLXY,"GLXU, GLXY",-32.84580679999999,10800.9858068,2
XOP,"GUSH, XOP",-33.75029728000118,24559.990297280005,2
XYZ,"XYZ, XYZG",-33.892918799999734,4351.7329188,2
ACHR,"ACHR, ARCX",-35.57078699999988,3720.170787,2
ARKK,"ARKK, TARK",-36.272728200599886,4436.9127282006,2
EWY,"EWY, KORU",-41.98395663999986,3603.3039566399993,2
UBER,"UBER, UBRL",-56.68451692739927,15980.7445169274,2
BA,"BA, BOEG, BOEU",-57.539390146797814,32817.5393901468,3
APH,"APH, APHU",-60.57429229550007,4168.7342922954995,2
CLSK,"CLSK, CLSX",-78.41535179999937,10678.6153518,2
SBUX,"SBU, SBUX",-82.45441741779996,4652.5344174178,2
VALE,"VALE, VALG",-83.44137711800022,5066.881377117999,2
OKTA,"OKTA, OKTG",-104.467143416,5182.227143416,2
COPX,"COPX, COPZ",-106.93556080610051,13766.655560806099,2
TSM,"TSM, TSMG, TSMU",-128.91761596700053,28445.157615967,3
DELL,"DELL, DLLL",-136.88229775050013,6533.722297750501,2
WDC,"WDC, WDCX",-139.61708876000012,5130.97708876,2
ABNB,"ABNB, ABNG",-141.80218187500031,4140.842181875,2
KLAC,"KLAC, KLAG",-148.29385997400277,18734.493859973998,2
UPST,"UPST, UPSX",-153.19683600000008,7929.496836,2
SPOT,"SPOG, SPOT",-158.0980420884,4023.5380420884003,2
EWW,"EWW, MEXX",-158.2428120999998,5322.162812099999,2
NEM,"NEM, NEMG",-164.0631696370001,3832.8631696370003,2
CSCO,"CSCL, CSCO",-183.34236081179915,17610.2223608118,2
CRWD,"CRWD, CRWL",-183.63642815999992,4415.93642816,2
LITE,"LITE, LITX",-185.82654550000052,6711.8265455,2
RKT,"RKT, RKTL",-191.96330458800094,13599.203304588002,2
RDDT,"RDDT, RDTL",-193.58358048000036,6968.30358048,2
OSCR,"OSCG, OSCR",-201.3965828800001,4248.03658288,2
AMZN,"AMZN, AMZU, AMZZ",-202.48057773000073,36543.38057773,3
TER,"TER, TERG",-203.84919696379984,20714.5691969638,2
BMNR,"BMNG, BMNR",-209.37393462,18604.413934620003,2
CIFR,"CIFG, CIFR",-210.56817561060052,11334.508175610601,2
SOFI,"SOFA, SOFI",-211.11026957370086,15612.2702695737,2
QQQ,TQQY,-214.7909311044,214.7909311044,1
SOXX,"SOXL, SOXX",-246.78802050000013,14157.1880205,2
MDB,"MDB, MDBX",-248.45460529449974,11936.134605294501,2
RDW,"RDW, RDWU",-276.75597208,10042.555972080001,2
NVDA,"NVDA, NVDB, NVDG, NVDL, NVDU, NVYY",-279.3866452505009,66532.5866452505,6
SRPT,"SRPT, SRPU",-284.7009718999998,21102.8609719,2
MSFT,"MSFL, MSFT, MSFU, MSFW, MSFX",-295.0475090029995,56138.547509003,5
MRVL,"MRVL, MRVU",-326.62387320000016,30734.263873199998,2
SATS,"SATG, SATS",-347.6315280000008,8083.371528000001,2
