run_date,underlying,ratio_source,prev_qty_b1,prev_qty_b2,prev_qty_b4,curr_qty_b1,curr_qty_b2,curr_qty_b4,ibkr_qty,orphan_qty,ratio_current_b1,ratio_current_b2,ratio_current_b4,ratio_realized_b1,ratio_realized_b2,ratio_realized_b4,ratio_unrealized_b1,ratio_unrealized_b2,ratio_unrealized_b4,ratio_carry_b1,ratio_carry_b2,ratio_carry_b4,plan_b4_frac,plan_b4_usd,plan_b4_qty,exposure_b4_qty_source,ledger_b2_frac,pnl_split_mode,plan_b2_usd
2026-05-22,ENPH,held_exposure_eod,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
2026-05-22,ENPX,held_exposure_eod,-33.0,0.0,0.0,-33.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
2026-05-22,EOSE,held_exposure,3588.0,0.0,0.0,3588.0,0.0,0.0,3244.0,-344.0,0.5139886431624945,0.4860113568375055,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
2026-05-22,EOSU,held_exposure_eod,0.0,0.0,0.0,0.0,0.0,0.0,-282.0,-282.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
2026-05-22,ERX,held_exposure_eod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
2026-05-22,ETHA,held_exposure,750.0,0.0,0.0,750.0,0.0,0.0,839.0,89.0,0.5024596276953331,0.4975403723046669,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
2026-05-22,ETHT,held_exposure_eod,0.0,0.0,0.0,0.0,0.0,0.0,-135.0,-135.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
2026-05-22,ETHU,held_exposure_eod,0.0,0.0,0.0,0.0,0.0,0.0,-114.0,-114.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
2026-05-22,ETOR,held_exposure,25.0,0.0,0.0,25.0,0.0,0.0,32.0,7.0,0.5139070098769131,0.486092990123087,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
2026-05-22,ETRL,held_exposure_eod,0.0,0.0,0.0,0.0,0.0,0.0,-51.0,-51.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
2026-05-22,ETU,held_exposure_eod,0.0,0.0,0.0,0.0,0.0,0.0,-387.0,-387.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
2026-05-22,EWJ,held_exposure_eod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
2026-05-22,EWV,held_exposure_eod,0.0,0.0,0.0,0.0,0.0,0.0,-58.0,-58.0,1.0,0.0,0.0,0.9327371154775357,0.0,0.06726288452246437,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
2026-05-22,EWW,held_exposure,15.0,0.0,0.0,15.0,0.0,0.0,13.0,-2.0,0.5026456911850569,0.4973543088149432,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
2026-05-22,EWY,held_exposure,20.0,0.0,0.0,20.0,0.0,0.0,25.0,5.0,0.5175723266110861,0.48242767338891396,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
2026-05-22,F,held_exposure_eod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
2026-05-22,FAZ,held_exposure_eod,0.0,0.0,0.0,0.0,0.0,0.0,-77.0,-77.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
2026-05-22,FBL,held_exposure_eod,0.0,0.0,0.0,0.0,0.0,0.0,-21.0,-21.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0
