underlying,etf,delta,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl,bucket,symbol
QBTS,QBTZ,-1.997626,0.0,6273.523218,0.0,0.0,0.0,-39.0,17.573944819594118,0.0,0.0,6252.097162819595,bucket_4,
ASTS,ASTN,-2.006542,0.0,1769.274187,0.0,0.0,0.0,-73.87,27.128204934268783,0.0,0.0,1722.5323919342688,bucket_4,
NBIS,NBIZ,-2.036414,0.0,1332.898198,0.0,0.0,0.0,-9.54,28.337327417776304,0.0,0.0,1351.6955254177765,bucket_4,
IREN,IREZ,-2.007181,0.0,676.808953,0.0,0.0,0.0,-125.47,24.951676122201437,0.0,0.0,576.2906291222014,bucket_4,
XLK,WEBS,-2.736337,313.26477971,0.0,0.0,0.0,0.0,-1.1875,0.0,0.0,0.0,312.07727971,bucket_4,
QQQ,QID,-1.995491,72.44317078,0.0,0.0,0.0,0.0,-0.79,0.0,0.0,0.0,71.65317078,bucket_4,
RKLB,RKLZ,-2.00263,0.0,70.74653,0.0,0.0,0.0,-8.719999999999999,3.024787722424008,0.0,0.0,65.05131772242402,bucket_4,
AMD,DAMD,-2.028006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
AUR,AURU,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
AXON,AXUP,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
DKNG,DKUP,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
LYFT,LYFX,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
LITE,LITZ,-2.001862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bucket_4,
