etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.030339,0.75
ASTN,ASTS,-2.007194,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.011199,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.991302,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.019941,0.75
CONI,COIN,-1.922746,0.75
CRCD,CRCL,-2.013831,0.75
CORD,CRWV,-2.008478,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.002524,0.75
SDOW,DIA,-2.999345,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-1.993779,0.75
BTCZ,IBIT,-1.999586,0.75
IONZ,IONQ,-2.032807,0.75
IREZ,IREN,-2.012784,0.75
TWM,IWM,-2.00098,0.75
TZA,IWM,-2.996711,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.0,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.990513,0.75
MSTZ,MSTR,-2.002769,0.75
SMST,MSTR,-1.976363,0.75
NBIZ,NBIS,-2.035714,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.003668,0.75
NVDS,NVDA,-1.490214,0.75
OKLS,OKLO,-2.004169,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-2.007038,0.75
QID,QQQ,-1.996968,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.998725,0.75
RKLZ,RKLB,-2.019625,0.75
SMCZ,SMCI,-2.028989,0.75
SNDQ,SNDK,-2.0,0.75
HIBS,SPHB,-3.005296,0.75
SPXS,SPY,-2.996177,0.75
SPXU,SPY,-2.994544,0.75
UVIX,SVIX,-1.982372,0.75
TBT,TLT,-1.998423,0.75
TBX,TLT,-1.37065,0.75
TMV,TLT,-2.990445,0.75
TSDD,TSLA,-2.011861,0.75
STSM,TSM,-2.006466,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.741203,0.75
DUG,XLE,-1.991079,0.75
SKF,XLF,-1.996973,0.75
FNGD,XLK,-2.913559,0.75
REW,XLK,-2.006227,0.75
TECS,XLK,-2.997185,0.75
WEBS,XLK,-2.792714,0.75
DRIP,XOP,-1.996342,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
