date,plan_date,n_pairs,turnover_step,turnover_usd,txn_cost_usd,target_planned_gross_usd,target_tradeable_gross_usd,raw_plan_stock_gross_usd,blended_stock_structural_gross_usd,target_blend_alpha,deployed_gross_usd,confirmed_desired_gross_usd,turnover_reference_gross_usd,deployed_desired_gross_ratio,untradeable_plan_gross_usd,blocked_pairs,n_added,n_exited,n_resize_candidates,n_resized,turnover_budget_usd,turnover_used_usd,n_deferred_pace,turnover_pace_mode,target_confirmed_today,persistent_target_pairs,n_hedge_repairs,hedge_repair_turnover_usd,hedge_reserve_usd,reserve_committed_usd,unused_reserve_to_tracking_usd,tracking_budget_usd,max_request_age,equity
2026-03-02,2026-02-28,23,2.04,2142000.0,4835.370606839074,2257500.0,2257500.0,,,,2142000.0,2257500.0,0.0,0.9488372093023256,0.0,1,25,0,0,0,,2142000.0,0,off,True,0,0,0.0,0.0,0.0,0.0,,0,1045164.6293931609
2026-03-06,2026-03-05,129,2.939159324344183,3085836.5485888408,6811.204683100028,2250838.1495140996,2189720.590060424,,,,2338084.2850985243,2189720.590060424,1907780.8055670152,1.0677546239056948,61117.55945367552,3,115,10,13,13,,3085836.5485888408,0,off,True,0,0,0.0,0.0,0.0,0.0,,0,1040090.260207179
2026-03-13,2026-03-12,129,0.5407506958352324,566183.9961936998,1251.385902860904,2253154.5341465496,2138926.1035850276,,,,2372767.243719275,2138926.1035850276,2456286.021979341,1.1093264230785296,114228.43056152202,1,13,13,93,41,,566183.9961936998,0,off,True,0,0,0.0,0.0,0.0,0.0,,0,1046727.4671885574
2026-03-20,2026-03-18,136,0.575349714371491,605441.0820763095,1414.0776431959164,2259576.7885174444,2237587.7878469797,,,,2340700.636362156,2237587.7878469797,2324856.506278454,1.046082146620219,21989.00067046471,2,17,13,93,48,,605441.0820763095,0,off,True,0,0,0.0,0.0,0.0,0.0,,0,1049551.8705044526
2026-03-27,2026-03-26,172,1.0336639548970106,1089812.757706731,2523.8286725412536,2256306.1899088696,2198392.503932788,,,,2392282.327004977,2198392.503932788,2122790.2044264786,1.0881961809482756,57913.68597608153,1,38,7,115,92,,1089812.757706731,0,off,True,0,0,0.0,0.0,0.0,0.0,,0,1046920.9108199563
2026-04-06,2026-04-04,175,0.06784814106148404,71907.77542067101,152.6176074013537,2278343.7125125667,2211060.814488583,,,,2645058.9058492305,2211060.814488583,2573151.1304285596,1.1962850087689836,67282.89802398393,0,31,4,154,0,,71907.77542067101,0,off,True,0,0,0.0,0.0,0.0,0.0,,0,1059542.1323984435
2026-04-10,2026-04-09,217,1.5074187787193216,1601118.4504917625,3641.8147948402598,2281321.5758311492,2256652.34095303,,,,2383544.6041706335,2256652.34095303,2837492.7381882733,1.0562303111182887,24669.23487811908,0,44,4,159,135,,1601118.4504917625,0,off,True,0,0,0.0,0.0,0.0,0.0,,0,1057437.9879173222
2026-04-13,2026-04-11,216,0.07003782383785542,74060.6555172097,157.8722293334289,2280773.903794603,2222773.232565397,,,,2492257.1820142763,2222773.232565397,2507290.9064519815,1.1212377157960718,58000.671229206026,0,7,7,182,2,,74060.6555172097,0,off,True,0,0,0.0,0.0,0.0,0.0,,0,1060667.19930304
2026-04-17,2026-04-16,221,0.6124220983485271,645714.6623154199,1446.9864631873681,2266252.955386831,2191491.5250818618,,,,2482627.983822514,2191491.5250818618,2849634.655396473,1.1328485442031435,74761.4303049692,0,7,8,183,131,,645714.6623154199,0,off,True,0,0,0.0,0.0,0.0,0.0,,0,1052624.155577199
2026-04-20,2026-04-18,226,0.1106776474439835,116501.96518199408,247.08407746763908,4195276.49019487,4098560.994010973,,,,2531273.39079559,4098560.994010973,2509204.3869125424,0.6176005174729414,96715.49618389737,1,42,11,197,1,,116501.96518199408,0,off,True,0,0,0.0,0.0,0.0,0.0,,0,1051200.6578260085
