,nav
2026-02-27,1050000.0
2026-03-02,1045164.6293931609
2026-03-03,1045793.0344171022
2026-03-04,1050764.403016712
2026-03-05,1049904.4822204001
2026-03-06,1040090.260207179
2026-03-09,1047401.0126177861
2026-03-10,1047114.1835742608
2026-03-11,1047013.7983187562
2026-03-12,1047033.3197060128
2026-03-13,1046727.4671885574
2026-03-16,1049076.037087744
2026-03-17,1049577.4673523908
2026-03-18,1051635.0305613964
2026-03-19,1052301.003986228
2026-03-20,1049551.8705044526
2026-03-23,1054644.8480180476
2026-03-24,1053005.968871544
2026-03-25,1055178.2866457703
2026-03-26,1054320.1710224238
2026-03-27,1046920.9108199563
2026-03-30,1041303.6915033577
2026-03-31,1060439.4716774963
2026-04-01,1059038.8742010791
2026-04-02,1059834.1280346669
2026-04-06,1059542.1323984435
2026-04-07,1058893.4094112955
2026-04-08,1061786.6832304045
2026-04-09,1062159.0185124578
2026-04-10,1057437.9879173222
2026-04-13,1060667.19930304
2026-04-14,1059417.1022504517
2026-04-15,1055383.1759307317
2026-04-16,1054362.1205973304
2026-04-17,1052624.155577199
2026-04-20,1051200.6578260085
2026-04-21,1052625.867371533
2026-04-22,1049906.9008942074
2026-04-23,1064798.668576447
2026-04-24,1051024.319044049
2026-04-27,1056580.1959351872
2026-04-28,1061777.667478464
2026-04-29,1066672.9676024336
2026-04-30,1063323.6762854748
2026-05-01,1078110.555370445
2026-05-04,1083968.1082896818
2026-05-05,1085866.366422586
2026-05-06,1084307.5173827922
2026-05-07,1086052.8196995782
2026-05-08,1086154.9648542057
2026-05-11,1084902.7953323673
2026-05-12,1095042.2257110127
2026-05-13,1100150.2756406306
2026-05-14,1110540.8330070535
2026-05-15,1100045.913067465
2026-05-18,1104268.016316603
2026-05-19,1097928.017458465
2026-05-20,1100359.6495771366
2026-05-21,1110416.137707847
2026-05-22,1115479.0967068912
2026-05-26,1115172.1317241355
2026-05-27,1127013.9937772637
2026-05-28,1141502.5590366793
2026-05-29,1144432.3560599864
2026-06-01,1165072.8171382362
2026-06-02,1158141.231217936
2026-06-03,1155153.9644033997
2026-06-04,1147349.45891554
2026-06-05,1145233.794756976
2026-06-08,1136709.0757548525
2026-06-09,1130787.7599371104
2026-06-10,1157776.6061755368
2026-06-11,1160792.81245193
2026-06-12,1193416.0046286883
2026-06-15,1196385.725484884
2026-06-16,1228889.7886706712
2026-06-17,1217709.865031013
2026-06-18,1212104.1338974275
2026-06-22,1216259.5763212766
2026-06-23,1226481.6695043722
2026-06-24,1229924.7953301962
2026-06-25,1216379.3941583422
2026-06-26,1198168.1404843528
2026-06-29,1214557.5677574994
2026-06-30,1223921.3179566998
2026-07-01,1236516.958888376
2026-07-02,1246648.5371016962
2026-07-06,1252407.5902534826
2026-07-07,1270670.787042689
2026-07-08,1250788.8237779024
2026-07-09,1253384.006621711
2026-07-10,1272847.7520800869
2026-07-13,1264278.6850953165
