ts,run_date,strategy_tag,stage,pair_id,underlying,etf,symbol,delta_sh,filled_sh,fill_avg_px,mark_px,delta_notional,pos_sh,pos_notional,gross_long,gross_short,net_notional
2026-03-31 14:23:45,2026-03-31,ETF_LS,POST_HEDGE,BULL__HEDGE,BULL,BULG,BULG,-339,0,,1.025,0.0,-385,-394.62499999999994,486990.5299999996,348789.3299999999,138201.20000000004
2026-03-31 14:23:49,2026-03-31,ETF_LS,HEDGE_PRE,CIFR__HEDGE,CIFR,CIFG,CIFG,0,0,,4.720000000000001,0.0,-93,-438.96000000000004,486990.5299999996,348789.3299999999,138201.20000000004
2026-03-31 14:25:01,2026-03-31,ETF_LS,POST_HEDGE,UPST__HEDGE,UPST,UPSX,UPSX,-21,-21,14.12,14.02,-296.52,-42,-588.84,486990.5299999996,348789.3299999999,138201.20000000004
2026-03-31 14:25:10,2026-03-31,ETF_LS,POST_HEDGE,LAC__HEDGE,LAC,LACG,LACG,-45,-45,7.16,7.13,-322.2,-71,-506.23,486990.5299999996,348789.3299999999,138201.20000000004
2026-03-31 14:25:13,2026-03-31,ETF_LS,HEDGE_PRE,MU__HEDGE,MU,MUU,MUU,0,0,,112.0,0.0,-11,-1232.0,486990.5299999996,348773.0499999999,138217.48
2026-03-31 14:25:14,2026-03-31,ETF_LS,HEDGE_PRE,GLXY__HEDGE,GLXY,GLXU,GLXU,0,0,,4.775,0.0,-89,-424.975,486990.5299999996,348773.0499999999,138217.48
2026-03-31 14:25:29,2026-03-31,ETF_LS,POST_HEDGE,SNOW__HEDGE,SNOW,SNOU,SNOU,-18,0,,17.564999999999998,0.0,-87,-1528.1549999999997,486990.5299999996,348773.0499999999,138217.48
2026-03-31 14:25:52,2026-03-31,ETF_LS,HEDGE_PRE,NEM__HEDGE,NEM,NEMG,NEMG,0,0,,19.86,0.0,-30,-595.8,486990.5299999996,348771.9999999999,138218.53000000006
2026-03-31 14:26:52,2026-03-31,ETF_LS,POST_HEDGE,BE__HEDGE,BE,BEX,BEX,-19,-19,15.91,15.93,-302.29,-27,-430.11,486990.5299999996,348771.9999999999,138218.53000000006
2026-03-31 14:26:56,2026-03-31,ETF_LS,POST_HEDGE,MU__HEDGE,MU,MUU,MUU,-2,-2,112.99,112.0,-225.98,-11,-1232.0,486990.5299999996,348771.9999999999,138218.53000000006
2026-03-31 14:27:04,2026-03-31,ETF_LS,HEDGE_PRE,SBUX__HEDGE,SBUX,SBU,SBU,0,0,,15.585,0.0,-40,-623.4000000000001,486990.5299999996,348772.1999999999,138218.33000000005
2026-03-31 14:27:06,2026-03-31,ETF_LS,HEDGE_PRE,SHOP__HEDGE,SHOP,SHPU,SHPU,0,0,,13.745000000000001,0.0,-46,-632.2700000000001,486990.5299999996,348773.80999999994,138216.72000000006
2026-03-31 14:28:10,2026-03-31,ETF_LS,POST_HEDGE,UUUU__HEDGE,UUUU,UUUG,UUUG,-30,-30,10.39,10.094999999999999,-311.70000000000005,-51,-514.8449999999999,486990.5299999996,348773.80999999994,138216.72000000006
2026-03-31 14:28:10,2026-03-31,ETF_LS,POST_HEDGE,SHOP__HEDGE,SHOP,SHPU,SHPU,-20,-20,13.8,13.745000000000001,-276.0,-46,-632.2700000000001,486990.5299999996,348773.80999999994,138216.72000000006
2026-03-31 14:28:15,2026-03-31,ETF_LS,HEDGE_PRE,BMNR__HEDGE,BMNR,BMNG,BMNG,0,0,,1.185,0.0,-515,-610.275,486990.5299999996,348768.66,138221.87000000005
2026-03-31 14:28:15,2026-03-31,ETF_LS,HEDGE_PRE,ASTS__HEDGE,ASTS,ASTX,ASTX,0,0,,35.4,0.0,-12,-424.79999999999995,486990.5299999996,348766.31999999995,138224.21000000005
2026-03-31 14:28:21,2026-03-31,ETF_LS,POST_HEDGE,NEM__HEDGE,NEM,NEMG,NEMG,-14,-14,19.87,19.86,-278.18,-30,-595.8,486990.5299999996,348766.31999999995,138224.21000000005
2026-03-31 14:28:24,2026-03-31,ETF_LS,HEDGE_PRE,KWEB__HEDGE,KWEB,CWEB,CWEB,0,0,,25.715,0.0,-25,-642.875,486990.5299999996,348766.31999999995,138224.21000000005
2026-03-31 14:28:26,2026-03-31,ETF_LS,POST_HEDGE,KWEB__HEDGE,KWEB,CWEB,CWEB,-11,-11,26.46,25.715,-291.06,-25,-642.875,486990.5299999996,348766.31999999995,138224.21000000005
2026-03-31 14:28:31,2026-03-31,ETF_LS,POST_HEDGE,ASTS__HEDGE,ASTS,ASTX,ASTX,-8,-8,35.98,35.4,-287.84,-12,-424.79999999999995,486990.5299999996,348766.31999999995,138224.21000000005
2026-03-31 14:28:33,2026-03-31,ETF_LS,HEDGE_PRE,URA__HEDGE,URA,URAA,URAA,0,0,,34.205,0.0,-18,-615.6899999999999,486990.5299999996,348766.31999999995,138224.21000000005
2026-03-31 14:28:37,2026-03-31,ETF_LS,HEDGE_PRE,NOW__HEDGE,NOW,NOWL,NOWL,0,0,,5.96,0.0,-107,-637.72,486990.5299999996,348763.64499999996,138226.88500000004
2026-03-31 14:28:38,2026-03-31,ETF_LS,POST_HEDGE,NOW__HEDGE,NOW,NOWL,NOWL,-47,-47,6.0,5.96,-282.0,-107,-637.72,486990.5299999996,348763.64499999996,138226.88500000004
2026-03-31 14:28:44,2026-03-31,ETF_LS,HEDGE_PRE,KTOS__HEDGE,KTOS,KTUP,KTUP,0,0,,15.29,0.0,-33,-504.57,486990.5299999996,348759.68499999994,138230.84500000006
2026-03-31 14:30:07,2026-03-31,ETF_LS,POST_HEDGE,GLXY__HEDGE,GLXY,GLXU,GLXU,-61,-61,5.05,4.775,-308.05,-89,-424.975,486990.5299999996,348759.68499999994,138230.84500000006
2026-03-31 14:30:09,2026-03-31,ETF_LS,HEDGE_PRE,WULF__HEDGE,WULF,WULX,WULX,0,0,,18.130000000000003,0.0,-31,-562.0300000000001,486990.5299999996,348759.68499999994,138230.84500000006
