ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual
AAPU,AAPL,1.970648,501,ols,0.048789,-0.012488999999999998,0.061278,100000,0.061278,False,False,False,,True,False,False,False,True,False,False,False,False,0.285457,0.563398,0.079192,0.017914
AMUU,AMD,2.007855,226,ols,0.017752,0.018548,0.0,50000,0.0,False,False,False,,True,False,False,False,True,False,False,False,False,0.558717,1.313531,0.120029,0.120029
AMZU,AMZN,1.978592,501,ols,0.042822,-0.006522,0.049344,650000,0.049344,False,False,False,,True,False,False,False,True,False,False,False,False,0.315556,0.624995,0.12038,0.071036
ASMU,ASML,2.034834,11,ols_short_history,0.047956000000000006,-0.011656,0.059612000000000005,1000,0.059612000000000005,False,False,False,,True,False,False,False,True,False,False,False,False,0.432074,0.654674,0.151376,0.09176400000000001
AVL,AVGO,1.987045,345,ols,0.045799000000000006,-0.009499,0.05529800000000001,90000,0.05529800000000001,False,False,False,,True,False,False,False,True,False,False,False,False,0.538309,1.08904,0.109527,0.05422899999999999
BOEU,BA,1.99061,213,ols,0.043376,-0.007076,0.050452,25000,0.050452,False,False,False,,True,False,False,False,True,False,False,False,False,0.347543,0.569629,0.107477,0.057025000000000006
BABU,BABA,2.024742,10,ols_short_history,0.067841,-0.031541,0.099382,200,0.099382,False,False,False,,False,True,False,False,False,True,True,True,False,0.438939,0.369917,0.067062,-0.03232
BRKU,BRK-B,1.950215,302,ols,0.061436000000000004,-0.025136,0.08657200000000001,45000,0.08657200000000001,False,False,False,,False,True,False,False,False,True,True,False,False,0.167839,0.352114,0.10663,0.020057999999999993
CONX,COIN,1.995771,67,ols,0.093838,-0.057538,0.151376,10000,0.151376,False,False,False,,False,True,False,False,False,False,True,False,False,0.797515,1.52482,0.179821,0.028444999999999998
CSCL,CSCO,2.02745,170,ols,0.044192,-0.007892,0.052084000000000005,6000,0.052084000000000005,False,False,False,,True,False,False,False,True,False,False,False,False,0.233502,0.533514,0.117125,0.065041
FRDU,F,1.979043,151,ols,0.002855,0.033445,0.0,400,0.0,False,False,False,,True,False,False,False,True,False,False,True,False,0.343128,0.605418,0.108863,0.108863
GGLL,GOOGL,1.975853,501,ols,0.037463,-0.001163,0.038626,600000,0.038626,False,False,False,,True,False,False,False,True,False,False,False,False,0.298201,0.590085,0.129626,0.091
HODU,HOOD,2.006546,67,ols,0.1069,-0.0706,0.1775,20000,0.1775,False,False,False,,False,True,False,False,False,False,True,False,False,0.70329,1.485862,0.172308,-0.005192000000000002
LINT,INTC,1.990181,67,ols,0.278143,-0.241843,0.519986,25000,0.519986,False,False,False,,False,True,False,False,False,False,True,False,False,0.616472,1.467516,0.125529,-0.39445699999999995
ELIL,LLY,1.992266,231,ols,0.079901,-0.043601,0.123502,3000,0.123502,False,False,False,,False,True,False,False,False,False,True,False,False,0.371549,0.860833,0.111431,-0.012070999999999998
LMTL,LMT,1.981238,141,ols,0.08599899999999999,-0.049699,0.13569799999999999,10000,0.13569799999999999,False,False,False,,False,True,False,False,False,False,True,False,False,0.237786,0.472521,0.090335,-0.04536299999999999
METU,META,1.998657,432,ols,0.064489,-0.028189000000000002,0.09267800000000001,300000,0.09267800000000001,False,False,False,,False,True,False,False,False,True,True,False,False,0.353455,0.710616,0.115385,0.02270699999999999
MRVU,MRVL,1.958496,10,ols_short_history,0.037964000000000005,-0.001664,0.039628000000000003,200,0.039628000000000003,False,False,False,,True,False,False,False,True,False,False,True,False,0.627425,0.546227,0.155788,0.11616000000000001
MSFU,MSFT,1.973938,501,ols,0.03705,-0.00075,0.0378,1200000,0.0378,False,False,False,,True,False,False,False,True,False,False,False,False,0.240919,0.476502,0.111572,0.073772
MUU,MU,1.994552,345,ols,0.023872,0.012428,0.011444000000000001,80000,0.011444000000000001,False,False,False,,True,False,False,False,True,False,False,False,False,0.600848,1.250882,0.110118,0.098674
NFXL,NFLX,1.996338,350,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.329818,0.709003,0.109911,
NVDU,NVDA,1.969011,501,ols,0.051414,-0.015114,0.066528,60000,0.066528,False,False,False,,True,False,False,False,True,False,False,False,False,0.498475,0.983124,0.140035,0.07350699999999999
ORCU,ORCL,2.007967,67,ols,0.145585,-0.109285,0.25487,200000,0.25487,False,False,False,,False,True,False,False,False,False,True,False,False,0.512279,1.118303,0.113106,-0.141764
PALU,PANW,2.005113,231,ols,0.060551,-0.024251,0.084802,400000,0.084802,False,False,False,,False,True,False,False,False,True,True,False,False,0.341069,0.72475,0.109061,0.024259000000000003
PLTU,PLTR,1.990973,302,ols,0.047057,-0.010757000000000001,0.057814000000000004,200000,0.057814000000000004,False,False,False,,True,False,False,False,True,False,False,False,False,0.627401,1.304524,0.116204,0.05839
QCMU,QCOM,2.00365,170,ols,0.024345,0.011955,0.012389999999999998,15000,0.012389999999999998,False,False,False,,True,False,False,False,True,False,False,False,False,0.387134,0.669687,0.115878,0.103488
SHPU,SHOP,2.003914,141,ols,0.158392,-0.12209199999999999,0.280484,30000,0.280484,False,False,False,,False,True,False,False,False,False,True,False,False,0.571637,1.019208,0.118629,-0.16185500000000003
SOFA,SOFI,2.021192,11,ols_short_history,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.584521,1.069243,0.183925,
TSLL,TSLA,1.981935,501,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.628943,1.2476,0.085135,
TSMX,TSM,1.993592,350,ols,0.21251699999999998,-0.176217,0.388734,400000,0.388734,False,False,False,,False,True,False,False,False,False,True,False,False,0.406527,0.801041,0.119971,-0.26876300000000003
XOMX,XOM,1.966331,213,ols,0.046082,-0.009781999999999999,0.055864,20000,0.055864,False,False,False,,True,False,False,False,True,False,False,False,False,0.223886,0.430188,0.090275,0.034411
YINN,FXI,2.972911,501,ols,0.015154,0.021145999999999998,0.0,800000,0.0,False,False,False,,True,False,False,False,True,False,False,False,False,0.287291,0.856163,0.127138,0.127138
MEXX,EWW,2.956545,501,ols,0.090735,-0.054435000000000004,0.14517,20000,0.14517,False,False,False,,False,True,False,False,False,False,True,False,False,0.23885,0.707977,0.112034,-0.033136
KORU,EWY,2.942351,501,ols,0.110453,-0.074153,0.184606,7000,0.184606,False,False,False,,False,True,False,False,False,False,True,False,False,0.266836,0.78604,0.105124,-0.079482
HIBL,SPY,4.468087,501,ols,0.533363,-0.497063,1.030426,3000,1.030426,False,False,False,,False,True,False,False,False,False,True,False,False,0.163747,0.794677,0.189432,-0.840994
