ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.98653,500,ols,0.110387,65000,0.110387,False,False,29.06999969482422,0.110387,1.0,False,,True,False,False,False,False,False,False,False,0.56167,0.171992,0.282573,0.078241,0.171992,0.06160500000000001,0.06160500000000001,0.4966325,0.5959589999999999,0.5,0.5959589999999999
AMUU,AMD,2.007611,257,ols,0.043493000000000004,10000,0.043493000000000004,False,False,66.31999969482422,0.043493000000000004,1.0,False,,True,False,False,False,False,False,False,False,1.281816,0.486288,0.559447,0.316563,0.486288,0.442795,0.442795,0.50190275,0.6022833,0.50190275,0.6022833
AMZU,AMZN,1.988911,500,ols,,0,,False,True,38.0,,1.0,False,,False,False,False,False,False,False,True,False,0.644511,0.2107,0.323913,0.103181,0.2107,0.2107,0.2107,0.49722775,1.0,0.5,1.0
ASMU,ASML,2.006648,42,ols,0.112842,700,0.112842,False,False,27.110000610351562,0.112842,1.0,False,,True,False,False,False,False,False,True,False,0.948966,0.322783,0.441617,0.196975,0.217943,0.209941,0.105101,0.501662,0.6019944,0.501662,0.6019944
AVL,AVGO,1.986547,376,ols,0.044981999999999994,65000,0.044981999999999994,False,False,49.20000076293945,0.044981999999999994,1.0,False,,True,False,False,False,False,False,False,False,1.073141,0.373587,0.537917,0.283542,0.373587,0.32860500000000004,0.32860500000000004,0.49663675,0.5959641,0.5,0.5959641
BOEU,BA,1.993143,244,ols,0.056139,10000,0.056139,False,False,38.104000091552734,0.056139,1.0,False,,True,False,False,False,False,False,False,False,0.601779,0.194421,0.354668,0.124499,0.192201,0.13828200000000002,0.13606200000000002,0.49828575,0.5979429,0.5,0.5979429
BABU,BABA,2.035643,41,ols,0.050106000000000005,20000,0.050106000000000005,False,False,14.800000190734863,0.050106000000000005,1.0,False,,True,False,False,False,False,False,False,False,0.735853,0.204503,0.445446,0.209157,0.2084,0.15439699999999998,0.158294,0.50891075,0.6106929,0.50891075,0.6106929
BRKU,BRK-B,1.946961,333,ols,0.07041800000000001,55000,0.07041800000000001,False,False,21.56999969482422,0.07041800000000001,1.0,False,,True,False,False,False,False,False,False,False,0.353967,0.1341,0.172486,0.027426,0.1341,0.06368199999999999,0.06368199999999999,0.48674025,0.5840883,0.5,0.5840883
CONX,COIN,2.003862,98,ols,0.152979,20000,0.152979,False,False,9.317999839782715,0.152979,1.0,False,,True,False,False,False,False,False,False,False,1.5043,0.661848,0.788237,0.624921,0.639282,0.508869,0.48630300000000004,0.5009655,0.6011585999999999,0.5009655,0.6011585999999999
CSCL,CSCO,2.023793,201,ols,0.095107,9000,0.095107,False,False,32.64400100708008,0.095107,1.0,False,,True,False,False,False,False,False,False,False,0.533241,0.192391,0.238879,0.059116,0.165419,0.09728400000000001,0.07031200000000001,0.50594825,0.6071379,0.50594825,0.6071379
FRDU,F,1.714437,183,ols,,0,,False,True,26.53969955444336,,1.0,False,,False,False,False,False,False,False,True,False,0.627859,0.278567,0.345228,0.072991,0.222278,0.278567,0.222278,0.42860925,1.0,0.5,1.0
GGLL,GOOGL,1.994787,500,ols,0.101337,25000,0.101337,False,False,103.80999755859375,0.101337,1.0,False,,True,False,False,False,False,False,False,False,0.603027,0.191439,0.302183,0.090602,0.191439,0.090102,0.090102,0.49869675,0.5984361,0.5,0.5984361
HODU,HOOD,2.00842,98,ols,0.10361000000000001,10000,0.10361000000000001,False,False,9.020000457763672,0.10361000000000001,1.0,False,,True,False,False,False,False,False,False,False,1.420036,0.621482,0.708803,0.508765,0.552599,0.517872,0.44898899999999997,0.502105,0.602526,0.502105,0.602526
