ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.98653,500,ols
AMUU,AMD,2.0,2.007611,257,ols
AMZU,AMZN,2.0,1.988911,500,ols
ASMU,ASML,2.0,2.006648,42,ols
AVL,AVGO,2.0,1.986547,376,ols
BOEU,BA,2.0,1.993143,244,ols
BABU,BABA,2.0,2.035643,41,ols
BRKU,BRK-B,2.0,1.946961,333,ols
CONX,COIN,2.0,2.003862,98,ols
CSCL,CSCO,2.0,2.023793,201,ols
FRDU,F,2.0,1.714437,183,ols
GGLL,GOOGL,2.0,1.994787,500,ols
HODU,HOOD,2.0,2.00842,98,ols
LINT,INTC,2.0,1.990978,98,ols
ELIL,LLY,2.0,1.993183,262,ols
LMTL,LMT,2.0,1.998405,172,ols
METU,META,2.0,1.998336,463,ols
MRVU,MRVL,2.0,2.00873,41,ols
MSFU,MSFT,2.0,1.991992,500,ols
MUU,MU,2.0,1.993949,376,ols
NFXL,NFLX,2.0,1.995879,381,ols
NVDU,NVDA,2.0,1.987229,500,ols
ORCU,ORCL,2.0,2.004534,98,ols
PALU,PANW,2.0,2.005078,262,ols
PLTU,PLTR,2.0,1.992065,333,ols
QCMU,QCOM,2.0,2.002219,201,ols
SHPU,SHOP,2.0,2.00974,172,ols
SOFA,SOFI,2.0,1.983168,42,ols
TSLL,TSLA,2.0,1.993836,500,ols
TSMX,TSM,2.0,1.995507,381,ols
XOMX,XOM,2.0,1.990585,244,ols
YINN,FXI,2.0,2.973852,500,ols
MEXX,EWW,2.0,2.955279,500,ols
KORU,EWY,2.0,2.933152,500,ols
HIBL,SPY,2.0,4.474605,500,ols
LABU,XBI,2.0,2.986875,500,ols
SOXL,SOXX,2.0,2.963091,500,ols
CHAU,ASHR,2.0,1.967156,500,ols
CWEB,KWEB,2.0,1.987668,500,ols
ERX,XLE,2.0,1.987462,500,ols
NUGT,GDX,2.0,1.976655,500,ols
JNUG,GDXJ,2.0,1.975313,500,ols
GUSH,XOP,2.0,2.010288,500,ols
URAA,URA,2.0,1.927683,450,ols
TQQQ,QQQ,2.0,2.971083,500,ols
SPXL,SPY,2.0,2.882845,500,ols
URTY,IWM,2.0,3.000091,500,ols
MSTU,MSTR,2.0,1.966099,392,ols
NVDX,NVDA,2.0,1.997653,500,ols
TSLT,TSLA,2.0,1.992625,500,ols
BTCL,IBIT,2.0,2.00652,441,ols
ETU,ETHA,2.0,1.989748,366,ols
CCUP,CRCL,2.0,1.98565,169,ols
CRWU,CRWV,2.0,1.989235,179,ols
AAPX,AAPL,2.0,1.993678,500,ols
GOOX,GOOGL,2.0,1.978173,500,ols
MSFX,MSFT,2.0,2.007417,500,ols
NFLU,NFLX,2.0,1.99102,385,ols
ROBN,HOOD,2.0,2.011632,300,ols
DJTU,DJT,2.0,2.005213,279,ols
RBLU,RBLX,2.0,2.018747,279,ols
SNOU,SNOW,2.0,1.999499,243,ols
SMUP,SMR,2.0,1.979956,179,ols
GLXU,GLXY,2.0,2.010122,170,ols
AFRU,AFRM,2.0,1.956787,144,ols
KTUP,KTOS,2.0,2.029588,144,ols
TTDU,TTD,2.0,1.996791,143,ols
BMNU,BMNR,2.0,1.949268,136,ols
SBTU,SBET,2.0,2.023484,119,ols
CIFU,CIFR,2.0,1.988597,96,ols
SOLX,GSOL,2.0,1.971373,89,ols
XRPK,XRPZ,2.0,1.956839,89,ols
XRPT,XRPZ,2.0,2.016295,95,ols
CHNU,CHNL,2.0,2.008503,8,ols_short_history
CRDX,CRDD,2.0,1.999167,8,ols_short_history
STLU,STLR,2.0,1.460349,8,ols_short_history
