symbol,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
NVDQ,T-REX 2X INVERSE NVIDIA DLY,0.0,244.666712,0.0,0.0,0.0,-13.86,5.400553360772881,0.0,0.0,236.20726536077288
TSLQ,TRADR 2X SHORT TSLA DAILY ET,0.0,129.647849,0.0,0.0,0.0,-3.35,5.871386351322742,0.0,0.0,132.16923535132275
AZYY,GRANITE YIELDBOOST AMZN ETF,149.34178575,0.0,0.0,0.0,-43.59,-6.33,0.0,0.0,0.0,99.42178575000001
TQQY,GRANITE YIELDBOOST QQQ,159.88451495,0.257116,0.0,0.0,-102.3,-11.73,0.11715620270326123,0.0,0.0,46.22878715270327
SQQQ,PROSHARES ULTRAPRO SHORT QQQ,0.0,7.871249,0.0,0.0,0.0,-3.0,4.237251561644652,0.0,0.0,9.108500561644652
TSYY,GRANITE YIELDBOOST TSLA ETF,0.0,1.085034,0.0,0.0,-1.4700000000000002,0.0,0.03271377387874659,0.0,0.0,-0.35225222612125356
LABD,DRX DLY S&P BIOTECH BEAR 3X,0.0,-13.908574,0.0,0.0,0.0,-12.29,4.330690278285822,0.0,0.0,-21.86788372171418
NVYY,GRANITE YIELDBOOST NVDA,104.42386226,1.257413,0.0,0.0,-146.70000000000002,-6.640000000000001,0.04370014960635899,0.0,0.0,-47.61502459039365
SDS,PROSHARES ULTRASHORT S&P500,0.0,-122.421061,0.0,0.0,0.0,-5.6899999999999995,5.951235221065115,0.0,0.0,-122.15982577893489
SOXS,DIREXION DAILY SEMI BEAR 3X,0.0,-186.679684,0.0,0.0,0.0,-1.8199999999999998,4.525732524298733,0.0,0.0,-183.97395147570126
FAZ,DIREXION DAILY FIN BEAR 3X,0.0,-360.601031,0.0,0.0,0.0,-9.129999999999999,4.735482337817963,0.0,0.0,-364.995548662182
EWV,PROSHARES ULTSHRT MSCI JAPAN,-409.18712052,0.0,0.0,0.0,0.0,-2.39,0.0,0.0,0.0,-411.57712052
ZSL,PROSHARES ULTRASHORT SILVER,0.0,-611.277632,0.0,0.0,0.0,-15.02,5.859282254987606,0.0,0.0,-620.4383497450124
DUST,DIREXION DAILY GOLD MINERS I,-3.4059583,-1124.429378,0.0,0.0,0.0,-10.16,7.245964606751208,0.0,0.0,-1130.749371693249
