h_model,beta_mode,h_hyst,regime_bump,n_pairs,ew_mean_cagr,ew_median_cagr,winsor_mean_cagr,ew_mean_vol,ew_mean_max_dd,mean_trades_per_pair,total_slippage,total_borrow,ret_over_vol,calmar_ew,composite_rank
v7,realized,0.0,0.0,45,0.037846146995851884,0.03594488088552139,0.04466687187740376,0.3276035023141626,-0.21703904665226367,13.022222222222222,22841.873618934158,539108.4872840605,0.1155242441808772,0.17437483061049538,1.25
v7,static,0.0,0.0,45,0.03252274333733555,0.036625606663380106,0.03907385216469685,0.3220255251817228,-0.21495147501450262,13.022222222222222,22271.00273157457,534219.7760795081,0.10099430260685882,0.15130272232438163,1.75
v7,realized,0.05,0.0,45,0.023936888554041698,0.03170347017994746,0.026771952408918023,0.31617797117508395,-0.21314218286074285,13.022222222222222,22731.996002152,536692.1784345864,0.07570700914133772,0.11230479219442424,3.25
v7,static,0.05,0.0,45,0.01797615299196064,0.03328432643969115,0.019900194220656794,0.3107654410527224,-0.2112451009587759,13.022222222222222,22182.322966063217,531434.2717068772,0.05784476205290448,0.08509618878910075,4.0
v7,realized,0.0,0.1,45,0.013988346490516406,0.006845264474479196,0.023105221501354713,0.31407591119977235,-0.21353547105436552,13.022222222222222,22886.888358199307,532582.4438120835,0.044538106845191716,0.06550830370919973,5.0
v7,static,0.0,0.1,45,0.008761753356843989,0.01032017318249201,0.018190065667702492,0.30923219402673197,-0.2116190272182142,13.022222222222222,22356.79661548836,527634.7782689428,0.028333897718575085,0.04140342894502191,5.75
v7,realized,0.05,0.1,45,0.0024595504729628213,0.006832377400928014,0.01220989609753918,0.3082144066231042,-0.21125088597251998,13.022222222222222,22875.31473474783,531082.5218712109,0.007979998404066976,0.011642793646237135,7.0
v7,static,0.05,0.1,45,-0.004009062434060517,0.00678243447961191,0.004353257231157245,0.30338356402406325,-0.21005396383617336,13.022222222222222,22336.934117020734,525546.9060461723,-0.013214501078715437,-0.019085868987396455,8.0
fixed,realized,0.0,0.0,45,-0.06306164460165371,-0.02218474630248357,-0.06461866150333788,0.23308343975305112,-0.18303770597181576,13.022222222222222,21623.933747503444,498519.46539673244,-0.2705539469833923,-0.34452816301884803,9.25
fixed,realized,0.05,0.0,45,-0.06679017261236336,-0.0221550865662139,-0.06731056337230716,0.23244271967482685,-0.1827141364314971,13.022222222222222,21629.22708050193,497824.0801888519,-0.28734035080039816,-0.36554463664832104,10.25
fixed,static,0.0,0.0,45,-0.06648841932086359,-0.02838073568536581,-0.06653716981055047,0.22969090136452622,-0.18170830113922007,13.022222222222222,21122.903430282782,493436.8273848355,-0.28946910359041395,-0.3659074401335244,11.25
fixed,static,0.05,0.0,45,-0.06648841932086359,-0.02838073568536581,-0.06653716981055047,0.22969090136452622,-0.18170830113922007,13.022222222222222,21122.903430282782,493436.8273848355,-0.28946910359041395,-0.3659074401335244,11.25
fixed,realized,0.0,0.1,45,-0.07286726164574499,-0.04738974826559206,-0.07207833409442212,0.2480885865668366,-0.19270663909079724,13.022222222222222,22229.675617524706,501696.02927475463,-0.2937146873788734,-0.3781253307594257,13.25
fixed,realized,0.05,0.1,45,-0.07413079083990347,-0.05077406167389553,-0.07180551475935844,0.2478389973207544,-0.19186050642233127,13.022222222222222,22173.811739733876,501969.0058371327,-0.29910866183808454,-0.3863785842237053,14.25
fixed,static,0.0,0.1,45,-0.07641677162049265,-0.0497714050243111,-0.07381593344136293,0.24475114719515648,-0.1911033704769836,13.022222222222222,21753.264329723384,496609.48494220874,-0.3122223225354709,-0.3998713964581606,15.25
fixed,static,0.05,0.1,45,-0.07641677162049265,-0.0497714050243111,-0.07381593344136293,0.24475114719515648,-0.1911033704769836,13.022222222222222,21753.264329723384,496609.48494220874,-0.3122223225354709,-0.3998713964581606,15.25
