k_tr,m_vcr,base_days,n_pairs,ew_mean_cagr,ew_median_cagr,winsor_mean_cagr,ew_mean_vol,ew_mean_max_dd,mean_rebalances,mean_interval_days,pct_pairs_at_cap,total_borrow_paid,total_slippage_paid,is_current,rank_winsor_mean_cagr,rank_ew_median_cagr,rank_ew_mean_vol,rank_ew_mean_max_dd,composite_rank
2.25,2.5,12.0,45,0.05853646919536948,0.048604778104095914,0.06953984560844417,0.32720613200227683,-0.21597454810737418,11.555555555555555,19.74798460798461,0.3333333333333333,543471.0573242855,21065.40005140246,False,2.0,3.0,18.0,3.0,6.5
2.25,2.0,10.0,45,0.050696741249085006,0.03273764554117009,0.04582680473155517,0.31602059275549343,-0.2165614898669623,13.044444444444444,17.18088578814069,0.0,528173.4107165143,22003.479920499754,False,7.0,11.0,9.0,4.0,7.75
1.75,3.0,10.0,45,0.05352881188727472,0.04885057545953231,0.05487812036855737,0.32309070446745375,-0.2194658026971107,13.222222222222221,16.946068561068557,0.0,535406.1245841252,22206.21899254783,False,4.0,1.0,15.0,13.0,8.25
2.25,2.5,10.0,45,0.03252274333733555,0.036625606663380106,0.03907385216469685,0.3220255251817228,-0.21495147501450262,13.022222222222222,17.30789087455754,0.0,534219.7760795081,22271.00273157457,True,11.0,8.0,14.0,2.0,8.75
1.75,2.0,12.0,45,0.015865384047895996,0.039120231958443386,0.008791307723402232,0.3193527220759006,-0.21700468358133568,11.622222222222222,19.36436279769613,0.17777777777777778,547197.8437122599,21169.414410338304,False,14.0,5.0,10.0,7.0,9.0
2.25,3.0,12.0,45,0.03189285119904103,0.03903869763015222,0.03719420782483096,0.33260569065915974,-0.21452439940597579,11.71111111111111,19.368449143449144,0.26666666666666666,557739.1341356644,21143.39217168984,False,12.0,6.0,19.0,1.0,9.5
2.75,2.5,12.0,45,0.055004791424731296,0.048829068749105975,0.05333033883078383,0.338028393812114,-0.2172834635350514,11.466666666666667,19.960992957659624,0.35555555555555557,553716.2636916821,20807.411149238626,False,5.0,2.0,23.0,9.0,9.75
1.75,2.5,10.0,45,0.06211313929090311,0.03157603520163166,0.07011086343703783,0.32087291252521394,-0.21997520466958562,13.222222222222221,17.023597466440602,0.022222222222222223,535182.2104596875,22360.846854152827,False,1.0,13.0,12.0,14.0,10.0
2.25,3.0,10.0,45,0.03137885251990097,0.033519870116770045,0.039827513616188005,0.32168444029523385,-0.2178260092106596,12.955555555555556,17.19265946366823,0.0,537536.5413385947,22501.753785850295,False,10.0,10.0,13.0,10.0,10.75
2.75,3.0,12.0,45,0.045207729073434365,0.032410330939260046,0.057407020109627185,0.33590009693022665,-0.21689399167758266,11.355555555555556,19.92084064084064,0.35555555555555557,555195.1940139304,20864.293904291433,False,3.0,12.0,22.0,6.0,10.75
