pair,h,CAGR,total_return,vol,max_dd,borrow_paid,slippage_paid,n_trades
DAMD/AMD,0.3,0.9798503554186406,0.4508245509379838,0.6219730979931655,-0.28104754843108426,8587.198387200406,612.6563343796769,10
DAMD/AMD,0.35,0.7601275648949981,0.36075639046655383,0.5446237543544481,-0.2511778705434834,8134.284803641557,591.3728585948019,10
DAMD/AMD,0.4,0.5771037707696924,0.2817421531411237,0.47823309815416193,-0.2249809588827133,7723.142072436811,577.0529542201623,10
DAMD/AMD,0.45,0.4233444034932956,0.21207150083487214,0.42114766243926105,-0.20186032631309836,7348.886380194568,566.6728729648137,10
DAMD/AMD,0.5,0.29308635693499285,0.1503189768752089,0.3722101570182029,-0.18133567868058154,7007.2089219464615,559.3284137927744,10
DAMD/AMD,0.55,0.181862301938023,0.09530931387483088,0.3306256723890013,-0.16301723945130075,6694.346100374456,554.3345415929873,10
DAMD/AMD,0.6,0.0861838167418072,0.04607131439958545,0.2958666061756599,-0.14658625496198652,6407.026179679385,551.1682335954165,10
DAMD/AMD,0.65,0.00330527184508167,0.0017994664271674399,0.2675897540898895,-0.1317801187949743,6142.409767491543,549.4272171858254,10
DAMD/AMD,0.7,-0.06895183409224592,-0.03817729629990019,0.2455477999459695,-0.11838094887504436,5898.032170127661,548.7999590293801,10
DAMD/AMD,0.75,-0.13232990031845604,-0.0744207458713182,0.22948908649870187,-0.12802086372866295,5671.751000337945,549.0436616495493,10
DAMD/AMD,0.8,-0.18823343547037574,-0.10740352036921097,0.21905900827661212,-0.1430617723753338,5461.700112454586,549.9679978123069,10
DAMD/AMD,0.85,-0.23780313153635113,-0.13752527108157075,0.21373559856914254,-0.15971078748915302,5266.24984104291,551.4229879343891,10
DAMD/AMD,0.9,-0.28197212032335395,-0.16512561474802812,0.21283020805946454,-0.18597237977145686,5083.973035138758,553.2898930318536,10
DAMD/AMD,0.95,-0.321509008888456,-0.19049455266279458,0.21555279460342167,-0.21073056934968726,4913.616205953897,555.4743203633143,10
ASTN/ASTS,0.3,1.9209888915937041,0.40143646346135564,1.1079257658070762,-0.3369603318941372,0.0,395.36538329419443,6
ASTN/ASTS,0.35,1.699089068637396,0.3670045668021691,0.976248693141184,-0.2978584336022534,0.0,386.35504219007,6
ASTN/ASTS,0.4,1.502435675615689,0.3348291980011362,0.8675659353490063,-0.26230033211652204,0.0,378.7573093004579,6
ASTN/ASTS,0.45,1.3282281233692101,0.3048453160966784,0.7782526318410883,-0.22981506426524512,0.0,372.2915996232913,6
ASTN/ASTS,0.5,1.1736598648438412,0.27692599678658225,0.7058012636024787,-0.20094260869428326,0.0,367.66740019313204,6
ASTN/ASTS,0.55,1.036257684002225,0.25094110753030563,0.6484071723363642,-0.17745469785557255,0.0,363.6692068229389,6
ASTN/ASTS,0.6,0.9137709801565361,0.22674375595152974,0.6046292692495517,-0.15832668223977675,0.0,360.14822139748253,6
ASTN/ASTS,0.65,0.8042366059111976,0.2041892151690412,0.573165515196581,-0.15829865991916703,0.0,357.0282050188766,6
ASTN/ASTS,0.7,0.7059618413407458,0.18314016247222975,0.5526985480496406,-0.17889135426043767,0.0,354.24783821019656,6
