ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,include_for_algo,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.985917,500,ols,0.10382,-0.06742,0.17124,40000,0.17124,False,False,False,,True,False,False,False,False,True,False,False,False,0.563007,0.175418,0.283326,0.078586,0.175418,0.004177999999999987,0.004177999999999987,0.49647925,0.5957751,0.5,0.5957751
AMUU,AMD,2.007489,246,ols,0.048345,-0.011944999999999999,0.060289999999999996,60000,0.060289999999999996,False,False,False,,True,False,False,False,False,True,False,False,False,1.297559,0.503143,0.560646,0.317864,0.498732,0.442853,0.438442,0.50187225,0.6022467,0.50187225,0.6022467
AMZU,AMZN,1.988453,500,ols,0.046337,-0.009937,0.056274000000000005,900,0.056274000000000005,False,False,False,,True,False,False,False,False,True,False,True,False,0.635036,0.213849,0.319211,0.100138,0.213849,0.15757500000000002,0.15757500000000002,0.49711325,0.5965359,0.5,0.5965359
ASMU,ASML,1.982376,31,ols,0.054442000000000004,-0.018042,0.072484,10000,0.072484,False,False,False,,True,False,False,False,False,True,False,False,False,0.836864,0.310072,0.435815,0.184943,0.200336,0.23758800000000002,0.12785199999999997,0.495594,0.5947127999999999,0.5,0.5947127999999999
AVL,AVGO,1.987599,365,ols,0.043128,-0.006728,0.049856,100000,0.049856,False,False,False,,True,False,False,False,False,True,False,False,False,1.074503,0.382001,0.535007,0.28093,0.382001,0.33214499999999997,0.33214499999999997,0.49689975,0.5962797,0.5,0.5962797
BOEU,BA,1.991117,233,ols,0.048808,-0.012407999999999999,0.06121599999999999,45000,0.06121599999999999,False,False,False,,True,False,False,False,False,True,False,False,False,0.591036,0.199807,0.351396,0.121839,0.193928,0.13859100000000002,0.132712,0.49777925,0.5973351,0.5,0.5973351
BABU,BABA,2.03286,30,ols,0.049100000000000005,-0.0127,0.06180000000000001,25000,0.06180000000000001,False,False,False,,True,False,False,False,False,True,False,False,False,0.721429,0.256477,0.444803,0.207709,0.213515,0.194677,0.151715,0.508215,0.6098579999999999,0.508215,0.6098579999999999
BRKU,BRK-B,1.945643,322,ols,0.183044,-0.146644,0.329688,25000,0.329688,False,False,False,,False,True,False,False,True,False,True,False,False,0.357364,0.142961,0.172631,0.027416,0.142961,-0.18672699999999998,-0.18672699999999998,0.48641075,0.5836929,0.5,0.5836929
CONX,COIN,2.003306,87,ols,0.15346,-0.11706,0.27052,20000,0.27052,False,False,False,,True,False,False,False,False,True,False,False,False,1.540924,0.730933,0.792896,0.631805,0.666028,0.46041300000000007,0.39550799999999997,0.5008265,0.6009918,0.5008265,0.6009918
CSCL,CSCO,2.022945,190,ols,0.090293,-0.053893,0.144186,10000,0.144186,False,False,False,,True,False,False,False,False,True,False,False,False,0.530234,0.200173,0.237937,0.058577,0.165336,0.05598699999999998,0.021150000000000002,0.50573625,0.6068835,0.50573625,0.6068835
FRDU,F,1.984331,171,ols,0.10031599999999999,-0.063916,0.164232,100,0.164232,False,False,False,,True,False,False,False,False,True,False,True,False,0.621107,0.225287,0.344256,0.115741,0.190076,0.061055,0.025844000000000006,0.49608275,0.5952993,0.5,0.5952993
