ETF,Underlying,Leverage,is_yieldboost,scenario_style,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,False,,1.98619,500,ols
AMUU,AMD,2.0,False,,2.007666,265,ols
AMZU,AMZN,2.0,False,,1.988558,500,ols
ASMU,ASML,2.0,False,,2.004162,50,ols
AVL,AVGO,2.0,False,,1.98656,384,ols
BOEU,BA,2.0,False,,1.995547,252,ols
BABU,BABA,2.0,False,,2.037119,49,ols
BRKU,BRK-B,2.0,False,,1.946855,341,ols
CONX,COIN,2.0,False,,2.004165,106,ols
CSCL,CSCO,2.0,False,,2.022858,209,ols
GGLL,GOOGL,2.0,False,,1.995613,500,ols
HODU,HOOD,2.0,False,,2.008478,106,ols
LINT,INTC,2.0,False,,1.998618,106,ols
ELIL,LLY,2.0,False,,1.992694,270,ols
LMTL,LMT,2.0,False,,1.998958,180,ols
METU,META,2.0,False,,1.998177,471,ols
MRVU,MRVL,2.0,False,,2.009715,49,ols
MSFU,MSFT,2.0,False,,1.992034,500,ols
MUU,MU,2.0,False,,1.993612,384,ols
NFXL,NFLX,2.0,False,,1.995501,389,ols
NVDU,NVDA,2.0,False,,1.986596,500,ols
ORCU,ORCL,2.0,False,,2.005567,106,ols
PALU,PANW,2.0,False,,2.005543,270,ols
PLTU,PLTR,2.0,False,,1.991734,341,ols
QCMU,QCOM,2.0,False,,2.007851,209,ols
SHPU,SHOP,2.0,False,,2.009526,180,ols
SOFA,SOFI,2.0,False,,1.990378,50,ols
TSLL,TSLA,2.0,False,,1.994511,500,ols
TSMX,TSM,2.0,False,,1.99764,389,ols
XOMX,XOM,2.0,False,,1.985604,252,ols
YINN,FXI,2.0,False,,2.974847,500,ols
MEXX,EWW,2.0,False,,2.956004,500,ols
KORU,EWY,2.0,False,,2.931562,500,ols
HIBL,SPHB,2.0,False,,3.006551,500,ols
LABU,XBI,2.0,False,,2.986466,500,ols
SOXL,SOXX,2.0,False,,2.963809,500,ols
CHAU,ASHR,2.0,False,,1.966468,500,ols
CWEB,KWEB,2.0,False,,1.988117,500,ols
ERX,XLE,2.0,False,,1.987902,500,ols
NUGT,GDX,2.0,False,,1.976485,500,ols
JNUG,GDXJ,2.0,False,,1.973534,500,ols
GUSH,XOP,2.0,False,,2.010246,500,ols
URAA,URA,2.0,False,,1.92425,458,ols
TQQQ,QQQ,2.0,False,,2.970757,500,ols
SPXL,SPY,2.0,False,,2.8832,500,ols
URTY,IWM,2.0,False,,2.999463,500,ols
MSTU,MSTR,2.0,False,,1.966713,400,ols
NVDX,NVDA,2.0,False,,1.996746,500,ols
TSLT,TSLA,2.0,False,,1.993112,500,ols
BTCL,IBIT,2.0,False,,2.006027,449,ols
ETU,ETHA,2.0,False,,1.989498,374,ols
CCUP,CRCL,2.0,False,,1.984743,177,ols
CRWU,CRWV,2.0,False,,1.989597,187,ols
AAPX,AAPL,2.0,False,,1.991811,500,ols
GOOX,GOOGL,2.0,False,,1.978159,500,ols
MSFX,MSFT,2.0,False,,2.007004,500,ols
NFLU,NFLX,2.0,False,,1.992157,393,ols
ROBN,HOOD,2.0,False,,2.012277,308,ols
DJTU,DJT,2.0,False,,2.003733,287,ols
RBLU,RBLX,2.0,False,,2.01893,287,ols
SNOU,SNOW,2.0,False,,2.004437,251,ols
SMUP,SMR,2.0,False,,1.982498,187,ols
GLXU,GLXY,2.0,False,,2.009519,178,ols
AFRU,AFRM,2.0,False,,1.956149,152,ols
KTUP,KTOS,2.0,False,,2.029205,152,ols
TTDU,TTD,2.0,False,,2.000355,151,ols
BMNU,BMNR,2.0,False,,1.948266,144,ols
SBTU,SBET,2.0,False,,2.022195,127,ols
CIFU,CIFR,2.0,False,,1.992406,104,ols
SOLX,GSOL,2.0,False,,1.96862,97,ols
XRPK,XRPZ,2.0,False,,1.96049,97,ols
XRPT,XRPZ,2.0,False,,2.015038,103,ols
CHNU,CHNL,2.0,False,,2.000343,16,ols_short_history
CRDX,CRDD,2.0,False,,1.983904,16,ols_short_history
STLU,STLR,2.0,False,,1.853738,16,ols_short_history
GMEU,GME,2.0,False,,1.965037,251,ols
APLX,APLD,2.0,False,,1.994769,157,ols
APPX,APP,2.0,False,,1.987214,250,ols
ARCX,ACHR,2.0,False,,1.983624,219,ols
ASTX,ASTS,2.0,False,,1.991194,198,ols
BEX,BE,2.0,False,,1.980121,110,ols
CEGX,CEG,2.0,False,,1.99058,198,ols
CLSX,CLSK,2.0,False,,1.999982,152,ols
COZX,CORZ,2.0,False,,2.037144,116,ols
CRDU,CRDO,2.0,False,,1.996078,152,ols
CSEX,CLS,2.0,False,,1.999844,110,ols
CWVX,CRWV,2.0,False,,1.989317,198,ols
DOGD,DDOG,2.0,False,,1.909707,175,ols
FLYT,FLY,2.0,False,,1.992409,125,ols
GEVX,GEV,2.0,False,,1.992072,198,ols
IREX,IREN,2.0,False,,1.982884,125,ols
JOBX,JOBY,2.0,False,,1.979133,157,ols
LABX,ALAB,2.0,False,,1.997045,176,ols
LRCU,LRCX,2.0,False,,2.037927,171,ols
NEBX,NBIS,2.0,False,,1.99765,157,ols
NVTX,NVTS,2.0,False,,2.004132,157,ols
OPEX,OPEN,2.0,False,,1.999923,125,ols
PONX,PONY,2.0,False,,2.007831,157,ols
QBTX,QBTS,2.0,False,,1.992124,250,ols
QUBX,QUBT,2.0,False,,1.967453,210,ols
RGTU,RGTI,2.0,False,,1.989106,210,ols
SMU,SMR,2.0,False,,1.982998,198,ols
SNPX,SNPS,2.0,False,,1.577177,111,ols
SRPU,SRPT,2.0,False,,1.965295,125,ols
TARK,ARKK,2.0,False,,1.979012,500,ols
TEMT,TEM,2.0,False,,1.985136,238,ols
UNX,U,2.0,False,,2.028525,152,ols
UPSX,UPST,2.0,False,,1.989551,219,ols
VOYX,VOYG,2.0,False,,1.902138,156,ols
WULX,WULF,2.0,False,,1.992493,125,ols
CRMU,CRML,2.0,False,,1.95241,51,ols
UECG,UEC,2.0,False,,1.993802,51,ols
DNNG,DNN,2.0,False,,1.984065,51,ols
RCAX,RCAT,2.0,False,,2.002839,56,ols
RDWU,RDW,2.0,False,,1.98493,58,ols
OKLL,OKLO,2.0,False,,1.997997,210,ols
GDXU,GDX,2.0,False,,3.041394,500,ols
MRNX,MRNA,2.0,False,,2.005529,55,ols
ZETX,ZETA,2.0,False,,2.03419,55,ols
LITX,LITE,2.0,False,,1.981569,61,ols
SNXX,SNDK,2.0,False,,1.994063,61,ols
WDCX,WDC,2.0,False,,2.042202,61,ols
LNOK,NOK,2.0,False,,1.985209,65,ols
USGG,USAR,2.0,False,,1.996472,70,ols
ONDG,ONDS,2.0,False,,2.00395,70,ols
PLUL,PLUG,2.0,False,,1.951154,70,ols
ALBG,ALB,2.0,False,,1.994712,70,ols
UUUG,UUUU,2.0,False,,1.995406,70,ols
HUTG,HUT,2.0,False,,1.999629,70,ols
XPEG,XPEV,2.0,False,,1.997978,68,ols
ORLG,ORLY,2.0,False,,2.003526,68,ols
LUNL,LUNR,2.0,False,,1.986135,70,ols
RKTL,RKT,2.0,False,,1.971562,70,ols
EOSU,EOSE,2.0,False,,1.970904,69,ols
BTFL,KEEL,2.0,False,,2.04528,79,ols
FGRU,FIGR,2.0,False,,1.992661,46,ols
APHU,APH,2.0,False,,2.002768,46,ols
COPZ,COPX,2.0,False,,2.016224,46,ols
LEUX,LEU,2.0,False,,2.026294,45,ols
COHX,COHR,2.0,False,,2.050777,45,ols
AXPG,AXP,2.0,False,,2.021083,45,ols
FCXG,FCX,2.0,False,,2.012279,45,ols
GLWG,GLW,2.0,False,,1.989307,32,ols
SNDU,SNDK,2.0,False,,2.005536,30,ols
PAAU,PAAS,2.0,False,,1.941216,30,ols
BITX,IBIT,2.0,False,,2.003503,500,ols
ETHU,ETHA,2.0,False,,2.000719,440,ols
XXRP,XRPZ,2.0,False,,2.021526,103,ols
ONDL,ONDS,2.0,False,,1.951109,79,ols
MSTX,MSTR,2.0,False,,1.953747,423,ols
SMCX,SMCI,2.0,False,,1.843802,419,ols
ORCX,ORCL,2.0,False,,1.982495,303,ols
IONX,IONQ,2.0,False,,1.98819,281,ols
HIMZ,HIMS,2.0,False,,1.998487,280,ols
IRE,IREN,2.0,False,,1.989975,127,ols
AVGX,AVGO,2.0,False,,1.978106,418,ols
RKLX,RKLB,2.0,False,,1.995487,280,ols
