ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,1.986764,500,ols
AMUU,AMD,2.0,2.007591,255,ols
AMZU,AMZN,2.0,1.988658,500,ols
ASMU,ASML,2.0,2.00712,40,ols
AVL,AVGO,2.0,1.986602,374,ols
BOEU,BA,2.0,1.993646,242,ols
BABU,BABA,2.0,2.032523,39,ols
BRKU,BRK-B,2.0,1.946812,331,ols
CONX,COIN,2.0,2.003194,96,ols
CSCL,CSCO,2.0,2.023807,199,ols
FRDU,F,2.0,1.983433,180,ols
GGLL,GOOGL,2.0,1.994641,500,ols
HODU,HOOD,2.0,2.007069,96,ols
LINT,INTC,2.0,1.990702,96,ols
ELIL,LLY,2.0,1.993218,260,ols
LMTL,LMT,2.0,1.998954,170,ols
METU,META,2.0,1.998314,461,ols
MRVU,MRVL,2.0,2.008686,39,ols
MSFU,MSFT,2.0,1.99183,500,ols
MUU,MU,2.0,1.994235,374,ols
NFXL,NFLX,2.0,1.995866,379,ols
NVDU,NVDA,2.0,1.987028,500,ols
ORCU,ORCL,2.0,2.003448,96,ols
PALU,PANW,2.0,2.005315,260,ols
PLTU,PLTR,2.0,1.991996,331,ols
QCMU,QCOM,2.0,2.002725,199,ols
SHPU,SHOP,2.0,2.010915,170,ols
SOFA,SOFI,2.0,1.983806,40,ols
TSLL,TSLA,2.0,1.993735,500,ols
TSMX,TSM,2.0,1.995548,379,ols
XOMX,XOM,2.0,1.988386,242,ols
YINN,FXI,2.0,2.973446,500,ols
MEXX,EWW,2.0,2.955157,500,ols
KORU,EWY,2.0,2.932317,500,ols
HIBL,SPY,2.0,4.471591,500,ols
LABU,XBI,2.0,2.987487,500,ols
SOXL,SOXX,2.0,2.962605,500,ols
CHAU,ASHR,2.0,1.96701,500,ols
CWEB,KWEB,2.0,1.988174,500,ols
ERX,XLE,2.0,1.986832,500,ols
NUGT,GDX,2.0,1.977007,500,ols
JNUG,GDXJ,2.0,1.975055,500,ols
GUSH,XOP,2.0,2.010114,500,ols
URAA,URA,2.0,1.928003,448,ols
MSTU,MSTR,2.0,1.966044,390,ols
NVDX,NVDA,2.0,1.997643,500,ols
TSLT,TSLA,2.0,1.992691,500,ols
BTCL,IBIT,2.0,2.006533,439,ols
ETU,ETHA,2.0,1.989832,364,ols
CCUP,CRCL,2.0,1.9851,167,ols
CRWU,CRWV,2.0,1.988683,177,ols
AAPX,AAPL,2.0,1.993814,500,ols
GOOX,GOOGL,2.0,1.978652,500,ols
MSFX,MSFT,2.0,2.007706,500,ols
NFLU,NFLX,2.0,1.991697,383,ols
ROBN,HOOD,2.0,2.011644,298,ols
DJTU,DJT,2.0,2.004743,277,ols
RBLU,RBLX,2.0,2.018277,277,ols
SNOU,SNOW,2.0,2.007385,241,ols
SMUP,SMR,2.0,1.979083,177,ols
GLXU,GLXY,2.0,2.010283,168,ols
AFRU,AFRM,2.0,1.954371,142,ols
KTUP,KTOS,2.0,2.029053,142,ols
TTDU,TTD,2.0,1.996783,141,ols
BMNU,BMNR,2.0,1.949044,134,ols
SBTU,SBET,2.0,2.024043,117,ols
CIFU,CIFR,2.0,1.987146,94,ols
SOLX,GSOL,2.0,1.971348,87,ols
XRPK,XRPZ,2.0,1.956843,87,ols
XRPT,XRPZ,2.0,2.01621,93,ols
CHNU,CHNL,2.0,2.009102,6,ols_short_history
CRDX,CRDD,2.0,2.007121,6,ols_short_history
STLU,STLR,2.0,1.351154,6,ols_short_history
GMEU,GME,2.0,1.965378,241,ols
APLX,APLD,2.0,1.994339,147,ols
APPX,APP,2.0,1.986845,240,ols
ARCX,ACHR,2.0,1.982714,209,ols
ASTX,ASTS,2.0,1.990016,188,ols
BEX,BE,2.0,1.975846,100,ols
CEGX,CEG,2.0,1.988511,188,ols
CLSX,CLSK,2.0,1.998658,142,ols
COZX,CORZ,2.0,2.037364,106,ols
CRDU,CRDO,2.0,1.991675,142,ols
CSEX,CLS,2.0,1.995639,100,ols
CWVX,CRWV,2.0,1.989558,188,ols
DOGD,DDOG,2.0,2.012279,166,ols
ENPX,ENPH,2.0,2.018279,142,ols
FLYT,FLY,2.0,1.991823,115,ols
GEVX,GEV,2.0,1.997409,188,ols
IREX,IREN,2.0,1.981774,115,ols
JOBX,JOBY,2.0,1.978487,147,ols
LABX,ALAB,2.0,1.997756,166,ols
LRCU,LRCX,2.0,2.036831,161,ols
MDBX,MDB,2.0,1.989631,161,ols
NEBX,NBIS,2.0,1.997921,147,ols
NNEX,NNE,2.0,1.98958,100,ols
NVTX,NVTS,2.0,1.996466,147,ols
OPEX,OPEN,2.0,1.994386,115,ols
PONX,PONY,2.0,2.007175,147,ols
QBTX,QBTS,2.0,1.991778,240,ols
QUBX,QUBT,2.0,1.962765,200,ols
RGTU,RGTI,2.0,1.985684,200,ols
SMU,SMR,2.0,1.984645,188,ols
SNPX,SNPS,2.0,1.921547,100,ols
SRPU,SRPT,2.0,1.965405,115,ols
TARK,ARKK,2.0,1.977947,500,ols
TEMT,TEM,2.0,1.985372,228,ols
UNX,U,2.0,2.028403,142,ols
UPSX,UPST,2.0,1.986337,209,ols
VOYX,VOYG,2.0,1.969135,147,ols
WULX,WULF,2.0,1.994579,115,ols
CRMU,CRML,2.0,1.962751,41,ols
UECG,UEC,2.0,1.991003,41,ols
DNNG,DNN,2.0,1.977411,41,ols
RCAX,RCAT,2.0,2.008145,46,ols
RDWU,RDW,2.0,1.977424,48,ols
OKLL,OKLO,2.0,1.997859,200,ols
GDXU,GDX,2.0,3.042887,500,ols
MRNX,MRNA,2.0,2.014201,45,ols
ZETX,ZETA,2.0,2.052384,45,ols
LITX,LITE,2.0,1.980469,51,ols
SNXX,SNDX,2.0,1.265744,51,ols
WDCX,WDC,2.0,2.043392,51,ols
LNOK,NOK,2.0,1.951168,55,ols
USGG,USAR,2.0,1.996742,60,ols
ONDG,ONDS,2.0,2.003995,60,ols
PLUL,PLUG,2.0,1.942618,60,ols
ALBG,ALB,2.0,2.006381,60,ols
UUUG,UUUU,2.0,1.9999,60,ols
HUTG,HUT,2.0,1.999218,60,ols
XPEG,XPEV,2.0,1.989582,58,ols
ORLG,ORLY,2.0,2.005749,58,ols
LUNL,LUNR,2.0,1.988624,60,ols
RKTL,RKT,2.0,1.950018,60,ols
EOSU,EOSE,2.0,1.970564,59,ols
BTFL,BITF,2.0,2.051857,69,ols
FGRU,FIGR,2.0,1.99852,36,ols
APHU,APH,2.0,2.007325,36,ols
COPZ,COPX,2.0,2.038121,36,ols
LEUX,LEU,2.0,2.020503,35,ols
COHX,COHR,2.0,2.053235,35,ols
AXPG,AXP,2.0,2.021506,35,ols
FCXG,FCX,2.0,2.046869,35,ols
GLWG,GLW,2.0,1.987945,22,ols_short_history
SNDU,SNDK,2.0,1.980152,20,ols_short_history
PAAU,PAAS,2.0,1.954642,20,ols_short_history
BITX,IBIT,2.0,2.004423,500,ols
ETHU,ETHA,2.0,2.001244,430,ols
XXRP,XRPZ,2.0,2.021609,93,ols
ADBU,ADBE,2.0,1.937858,11,ols_short_history
PYPU,PYPL,2.0,1.99221,11,ols_short_history
TXNU,TXN,2.0,1.99316,11,ols_short_history
UNHU,UNH,2.0,1.984234,11,ols_short_history
AAOX,AAOI,2.0,1.977544,12,ols_short_history
HLXX,HL,2.0,2.018287,12,ols_short_history
IBX,IBM,2.0,1.922254,12,ols_short_history
AALG,AAL,2.0,1.984671,188,ols
ABNG,ABNB,2.0,1.990303,98,ols
ADBG,ADBE,2.0,1.992884,264,ols
AMDG,AMD,2.0,2.002885,303,ols
ARMG,ARM,2.0,1.995778,310,ols
ASMG,ASML,2.0,1.986426,310,ols
AVGG,AVGO,2.0,1.997901,225,ols
BAIG,BBAI,2.0,1.999884,159,ols
BEG,BE,2.0,1.992227,78,ols
BIDG,BIDU,2.0,2.017513,76,ols
BLSG,BLSH,2.0,2.018485,113,ols
BMNG,BMNR,2.0,1.991655,113,ols
BOEG,BA,2.0,1.991965,206,ols
BULG,BULL,2.0,1.975604,167,ols
CIFG,CIFR,2.0,1.992352,81,ols
CMGG,CMG,2.0,1.976062,98,ols
CNCG,CNC,2.0,2.009967,76,ols
COIG,COIN,2.0,1.996302,268,ols
COTG,COST,2.0,1.988445,140,ols
CRCG,CRCL,2.0,1.989787,167,ols
CRMG,CRM,2.0,1.983288,254,ols
CRWG,CRWV,2.0,1.996246,167,ols
DUOG,DUOL,2.0,2.019597,81,ols
FIGG,FIG,2.0,1.99634,122,ols
FUTG,FUTU,2.0,2.001974,122,ols
GEMG,GEMI,2.0,1.979273,106,ols
GEVG,GEV,2.0,1.961169,78,ols
GLGG,GLXY,2.0,1.998418,159,ols
GRAG,GRAB,2.0,1.973642,81,ols
HOOG,HOOD,2.0,2.006445,264,ols
IREG,IREN,2.0,1.970385,78,ols
KLAG,KLAC,2.0,2.011972,76,ols
LACG,LAC,2.0,2.007981,81,ols
LULG,LULU,2.0,1.990024,106,ols
MPG,MP,2.0,1.987038,113,ols
NBIG,NBIS,2.0,2.008756,113,ols
NEMG,NEM,2.0,1.997236,98,ols
NETG,NET,2.0,2.001705,98,ols
NIOG,NIO,2.0,1.962085,76,ols
NUG,NU,2.0,1.983698,98,ols
NVDG,NVDA,2.0,1.96959,329,ols
OKTG,OKTA,2.0,1.996503,98,ols
OPEG,OPEN,2.0,2.003221,81,ols
OSCG,OSCR,2.0,1.99253,106,ols
PANG,PANW,2.0,1.996682,264,ols
PBRG,PBR,2.0,1.92995,76,ols
PLTG,PLTR,2.0,1.995509,240,ols
PYPG,PYPL,2.0,1.995081,254,ols
RTXG,RTX,2.0,2.014405,211,ols
SATG,SATS,2.0,1.996982,78,ols
SBU,SBUX,2.0,2.000222,98,ols
SNAG,SNAP,2.0,1.969116,76,ols
SPOG,SPOT,2.0,1.972732,98,ols
TERG,TER,2.0,1.995226,98,ols
TSLG,TSLA,2.0,1.99115,329,ols
TSMG,TSM,2.0,1.983034,310,ols
UNHG,UNH,2.0,1.995819,181,ols
UPSG,UPS,2.0,1.982802,81,ols
VALG,VALE,2.0,1.976993,76,ols
XYZG,XYZ,2.0,1.999159,254,ols
COIO,COIN,2.0,0.947904,165,ols
MSOO,MSTR,2.0,0.975281,165,ols
NVDO,NVDA,2.0,0.950479,165,ols
PLOO,PLTR,2.0,0.898726,165,ols
TSLO,TSLA,2.0,0.864247,165,ols
CRCA,CRCL,2.0,1.981646,169,ols
NVDB,NVDA,2.0,1.995882,146,ols
PLTA,PLTR,2.0,1.991375,146,ols
TSLI,TSLA,2.0,1.981395,146,ols
COIA,COIN,2.0,2.001434,146,ols
BITU,IBIT,2.0,1.992547,500,ols
ETHT,ETHA,2.0,1.991618,430,ols
UXRP,XRPZ,2.0,2.000241,93,ols
SOLT,SOEZ,2.0,2.016779,87,ols
TSLR,TSLA,2.0,1.998866,500,ols
AAPB,AAPL,2.0,1.989836,500,ols
AMDL,AMD,2.0,1.998154,500,ols
AMZZ,AMZN,2.0,1.990057,500,ols
AVGU,AVGO,2.0,1.991838,186,ols
BABX,BABA,2.0,2.006236,500,ols
BULX,BULL,2.0,1.972781,151,ols
CONL,COIN,2.0,1.987356,500,ols
CRWL,CRWD,2.0,1.996406,351,ols
DLLL,DELL,2.0,1.985905,288,ols
ETRL,ETOR,2.0,1.998628,151,ols
GOU,GOOGL,2.0,2.01728,88,ols
INTW,INTC,2.0,1.987383,289,ols
IONL,IONQ,2.0,1.985424,261,ols
ISUL,ISRG,2.0,2.002222,127,ols
LCDL,LCID,2.0,1.960175,243,ols
MRAL,MARA,2.0,1.97758,274,ols
FBL,META,2.0,1.996831,500,ols
MVLL,MRVL,2.0,1.993974,274,ols
MSFL,MSFT,2.0,1.992436,500,ols
MSTP,MSTR,2.0,1.996471,209,ols
MULL,MU,2.0,1.998765,351,ols
NBIL,NBIS,2.0,1.99885,127,ols
NOWL,NOW,2.0,1.995407,186,ols
NVDL,NVDA,2.0,1.987554,500,ols
PDDL,PDD,2.0,2.004854,186,ols
PTIR,PLTR,2.0,1.996519,400,ols
QCML,QCOM,2.0,1.973902,255,ols
RDTL,RDDT,2.0,1.981057,262,ols
RVNL,RIVN,2.0,1.98624,243,ols
SMCL,SMCI,2.0,1.76708,329,ols
TSMU,TSM,2.0,1.990845,351,ols
UBRL,UBER,2.0,1.997132,400,ols
VRTL,VRT,2.0,1.981022,262,ols
AMYY,AMD,2.0,0.313445,142,ols
AZYY,AMZN,2.0,0.610167,142,ols
BBYY,BABA,2.0,0.595414,116,ols
XBTY,IBIT,2.0,0.540565,228,ols
COYY,COIN,2.0,0.475259,176,ols
