ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
AAPU,AAPL,1.986763,500,ols,0.11968899999999999,60000,0.11968899999999999,False,False,29.43000030517578,0.11968899999999999,1.0,False,,True,False,False,False,False,False,False,False,0.562693,0.174465,0.283055,0.078536,0.174465,0.05477600000000002,0.05477600000000002,0.49669075,0.5960289,0.5,0.5960289
AMUU,AMD,2.007591,255,ols,0.041554,5000,0.041554,False,False,61.250999450683594,0.041554,1.0,False,,True,False,False,False,False,False,False,False,1.285543,0.494435,0.560008,0.317189,0.494435,0.45288100000000003,0.45288100000000003,0.50189775,0.6022773,0.50189775,0.6022773
AMZU,AMZN,1.988657,500,ols,0.062269,9000,0.062269,False,False,34.880001068115234,0.062269,1.0,False,,True,False,False,False,False,False,False,False,0.64294,0.212196,0.323165,0.102665,0.212196,0.149927,0.149927,0.49716425,0.5965971,0.5,0.5965971
ASMU,ASML,2.00712,40,ols,,0,,False,True,25.780000686645508,,1.0,False,,False,False,False,False,False,False,True,False,0.969308,0.341846,0.442068,0.197516,0.220426,0.341846,0.220426,0.50178,1.0,0.50178,1.0
AVL,AVGO,1.986602,374,ols,0.047221,100000,0.047221,False,False,46.91999816894531,0.047221,1.0,False,,True,False,False,False,False,False,False,False,1.075568,0.377539,0.538529,0.284211,0.377539,0.330318,0.330318,0.4966505,0.5959806,0.5,0.5959806
BOEU,BA,1.993647,242,ols,0.054201,10000,0.054201,False,False,36.17499923706055,0.054201,1.0,False,,True,False,False,False,False,False,False,False,0.602976,0.194772,0.354808,0.124692,0.191991,0.140571,0.13779,0.49841175,0.5980941,0.5,0.5980941
BABU,BABA,2.032523,39,ols,0.049964,15000,0.049964,False,False,13.90999984741211,0.049964,1.0,False,,True,False,False,False,False,False,False,False,0.734194,0.225988,0.446537,0.209228,0.211822,0.17602399999999999,0.161858,0.50813075,0.6097568999999999,0.50813075,0.6097568999999999
BRKU,BRK-B,1.946812,331,ols,0.135374,70000,0.135374,False,False,21.756999969482422,0.135374,1.0,False,,True,False,False,False,False,False,False,False,0.354869,0.136767,0.172704,0.027489,0.136767,0.0013930000000000053,0.0013930000000000053,0.486703,0.5840436,0.5,0.5840436
CONX,COIN,2.003194,96,ols,0.155144,35000,0.155144,False,False,7.744999885559082,0.155144,1.0,False,,True,False,False,False,False,False,False,False,1.500679,0.686089,0.790817,0.628391,0.650371,0.530945,0.49522700000000003,0.5007985,0.6009582,0.5007985,0.6009582
CSCL,CSCO,2.023807,199,ols,0.09514099999999999,9000,0.09514099999999999,False,False,32.35499954223633,0.09514099999999999,1.0,False,,True,False,False,False,False,False,False,False,0.535911,0.196219,0.239442,0.059396,0.167443,0.10107800000000002,0.07230200000000002,0.50595175,0.6071421,0.50595175,0.6071421
