ETF,Underlying,n_level_days,screened_Beta_csv,ols_simple_default,n_obs_default,ols_simple_aligned,n_obs_simple_aligned,ols_log_returns,n_obs_log,ols_simple_last_252d,n_obs_tail,roll_median_60d_simple,n_roll_windows,weekly_simple_FRI,n_weeks,listed_leverage_assumption,shrink_0.5_ols_0.5_lev
ORCX,ORCL,309,1.290353,1.290353,308,1.290353,308,1.406871,308,1.176753,251,1.98485,249,1.535915,64,2.0,1.645177
HIMZ,HIMS,286,1.492746,1.492746,285,1.492746,285,1.472489,285,1.393845,251,1.988043,226,1.526589,59,2.0,1.746373
MSTX,MSTR,429,1.953994,1.953994,428,1.953994,428,1.951979,428,1.992719,251,1.985673,369,1.958816,89,2.0,1.976997
NVDL,NVDA,501,1.987675,1.987675,500,1.987675,500,2.002441,500,1.995736,251,1.993387,441,2.01924,104,2.0,1.993838
FBYY,META,132,0.549213,0.549212,131,0.549212,131,0.556788,131,,132,0.528009,72,,27,2.0,1.274606
