source_detail_date,ETF,Underlying,inverse_etf_short_usd,underlying_short_usd
2026-07-10,ASTN,ASTS,26635.71306528,26635.71306528
2026-07-10,CONI,COIN,13364.7458612976,13364.7458612976
2026-07-10,CORD,CRWV,77310.55417987,9.925611181277322
2026-07-10,DAMD,AMD,5136.858090000001,181.3180789276476
2026-07-10,IREZ,IREN,27546.94794401,27546.94794401
2026-07-10,LITZ,LITE,63401.12339904001,9429.24
2026-07-10,MSTZ,MSTR,22900.69230624,12205.7
2026-07-10,NBIZ,NBIS,41576.676720314994,27025.0
2026-07-10,QBTZ,QBTS,54515.63005223999,0.0
2026-07-10,RGTZ,RGTI,14989.48638876,14989.48638876
2026-07-10,RKLZ,RKLB,20051.2015596,8255.0
2026-07-10,SNDQ,SNDK,45891.919458,26015.78
2026-07-10,SPCG,SPCX,1514.16,1854.7826977218956
2026-07-10,SSPC,SPCX,1904.56,1854.7826977218956
2026-07-10,UVIX,SVIX,20856.782690818,22091.64
