ETF,Underlying,inverse_etf_short_usd,inverse_short_solved_usd,ratchet_floor_usd,ratchet_creep_ratio,ratchet_gap_usd,ratchet_trim_lambda,ratchet_trim_usd,underlying_short_usd,hedge_ratio,ratchet_binding,ratchet_released,forward_edge_annual,ratchet_source,ratchet_explain
LITZ,LITE,49146.01611506616,6114.760274918258,63401.12339904001,10.368537857338579,57286.36312412175,0.24883945334577195,14255.107283973846,36429.62883355107,0.3706388853748138,True,True,1.9744036443615205,edge_trim,"continuous trim lambda=0.25 of gap 57,286 (pinned 63,401 - solved 6,115); inverse -> 49,146; underlying re-solved = h(0.371)*beta(2.000)*inv*phr(1.00) = 36,430 [fwd_edge=1.974, borrow=0.365]"
SNDQ,SNDK,40761.38576945443,4847.649949635418,45891.919458,9.466838557815304,41044.26950836458,0.125,5130.533688545573,34948.75648201392,0.4245403079144453,True,True,3.210072977018174,edge_trim,"continuous trim lambda=0.12 of gap 41,044 (pinned 45,892 - solved 4,848); inverse -> 40,761; underlying re-solved = h(0.425)*beta(2.020)*inv*phr(1.00) = 34,949 [fwd_edge=3.210, borrow=0.340]"
MSTZ,MSTR,16273.709110152628,4960.231521901333,22900.69230624,4.616859556882501,17940.460784338666,0.3693875690123005,6626.98319608737,11576.537375227268,0.3567837716865919,True,True,1.1707495399179964,edge_trim,"continuous trim lambda=0.37 of gap 17,940 (pinned 22,901 - solved 4,960); inverse -> 16,274; underlying re-solved = h(0.357)*beta(1.994)*inv*phr(1.00) = 11,577 [fwd_edge=1.171, borrow=0.525]"
QBTZ,QBTS,47992.8226521386,5543.7845463201975,54515.63005223999,9.833648764078662,48971.845505919795,0.13319504978248986,6522.807400101389,49384.18847857189,0.5164158538714566,True,True,2.7453663347834008,edge_trim,"continuous trim lambda=0.13 of gap 48,972 (pinned 54,516 - solved 5,544); inverse -> 47,993; underlying re-solved = h(0.516)*beta(1.993)*inv*phr(1.00) = 49,384 [fwd_edge=2.745, borrow=0.428]"
RKLZ,RKLB,15859.404791241042,6699.755785492871,20051.2015596,2.9928257389645916,13351.445774107127,0.3139582663390834,4191.796768358955,17566.854858641433,0.5550335947661799,True,True,1.5402782244061108,edge_trim,"continuous trim lambda=0.31 of gap 13,351 (pinned 20,051 - solved 6,700); inverse -> 15,859; underlying re-solved = h(0.555)*beta(1.996)*inv*phr(1.00) = 17,567 [fwd_edge=1.540, borrow=0.809]"
NBIZ,NBIS,36164.057540213274,5027.111784582852,41576.676720314994,8.270489796511459,36549.56493573214,0.1480898388152947,5412.619180101719,32505.394832798796,0.44366694588823674,True,True,2.6460677412313687,edge_trim,"continuous trim lambda=0.15 of gap 36,550 (pinned 41,577 - solved 5,027); inverse -> 36,164; underlying re-solved = h(0.444)*beta(2.026)*inv*phr(1.00) = 32,505 [fwd_edge=2.646, borrow=0.285]"
CORD,CRWV,60650.38490492821,4759.994311758065,77310.55417987,16.24173247201129,72550.55986811193,0.22963529578859143,16660.169274941793,47246.00708246015,0.38915010869664035,True,True,2.1024313614093906,edge_trim,"continuous trim lambda=0.23 of gap 72,551 (pinned 77,311 - solved 4,760); inverse -> 60,650; underlying re-solved = h(0.389)*beta(2.002)*inv*phr(1.00) = 47,246 [fwd_edge=2.102, borrow=1.316]"
DAMD,AMD,7842.26,7779.023795007423,7842.26,1.008129066918803,63.23620499257686,0.0,0.0,7129.249609328658,0.44863091225823526,True,False,0.8199136603652836,ratchet_state,"inverse floored to 7,842 (>solved 7,779) from ratchet_state [held=5,137, state=7,842]; underlying re-solved = h(0.449)*beta(2.026)*inv*phr(1.00) = 7,129"
CONI,COIN,9861.842841089569,5677.899864042992,13364.7458612976,2.353818521163762,7686.845997254609,0.4557009495779034,3502.903020208031,7246.938463451514,0.3810603335291695,True,True,0.5953270028139773,edge_trim,"continuous trim lambda=0.46 of gap 7,687 (pinned 13,365 - solved 5,678); inverse -> 9,862; underlying re-solved = h(0.381)*beta(1.928)*inv*phr(1.00) = 7,247 [fwd_edge=0.595, borrow=0.567]"
SSPC,SPCX,3653.431283465687,3653.431283465687,3653.43,1.0,0.0,0.0,0.0,5480.146925198531,0.75,False,False,,solve,"no cover needed; solved inverse 3,653 already >= floor"
MUZ,MU,6220.479069167464,5504.777015255088,6274.26,1.139784587570484,769.4829847449118,0.06989229378524198,53.78093083253625,5240.6947679601835,0.4212452698326969,True,True,,edge_trim,"continuous trim lambda=0.07 of gap 769 (pinned 6,274 - solved 5,505); inverse -> 6,220; underlying re-solved = h(0.421)*beta(2.000)*inv*phr(1.00) = 5,241 [fwd_edge=nan, borrow=0.320]"
