symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,18763.306799768703,18763.306799768703,1
DUST,flow_program,14895.2600064,14895.2600064,1
ZSL,flow_program,11443.392230399999,11443.392230399999,1
SDS,flow_program,10923.972893459999,10923.972893459999,1
FAZ,flow_program,9952.262706799998,9952.262706799998,1
LABD,flow_program,8942.8945235,8942.8945235,1
SQQQ,flow_program,8401.303310399999,8401.303310399999,1
TSLQ,flow_program,8037.813155900001,8037.813155900001,1
NVDQ,flow_program,6271.72011648,6271.72011648,1
EWV,flow_program,3305.9164698,3305.9164698,1
SOXS,flow_program,1742.6681131199998,1742.6681131199998,1
TSYY,flow_program,-67.86985062,67.86985062,1
NVYY,flow_program,-98.113184106,98.113184106,1
TQQY,flow_program,-472.0833787635,472.0833787635,1
