underlying,sector,sector_source,sector_confidence,instrument_class,beta_to_spy,beta_source,net_notional_usd,gross_notional_usd
ASTS,space,override,1.0,letf,3.228723229175,computed,16831.969158480002,53972.11643352001
SOXX,semis,override,1.0,letf,2.4145157352168836,computed,10703.38606248,19109.11393752
NBIS,software,override,1.0,letf,3.1657766037233936,computed,8762.63108703801,101845.275419078
LITE,semis,override,1.0,letf,2.730328158734172,computed,8227.591364959997,44807.21157824
BE,clean,override,1.0,letf,4.162849671111322,computed,7887.879936163599,76409.5956478364
CRWV,software,override,1.0,letf,2.920453197830077,computed,6024.238997290003,89409.66586921
RKLB,space,override,1.0,letf,3.3248528972263798,computed,5553.6089875,24424.5103711
QBTS,quantum,override,1.0,letf,4.077310935356446,computed,5470.855173414604,60864.13147866541
MARA,crypto-equity,override,1.0,letf,3.148174695598902,computed,4269.045616464999,59203.594383535004
RCAT,drones,override,1.0,letf,3.4425252927923906,computed,3831.649084119996,49742.91091588
FLY,evtol,override,1.0,letf,3.159727083891268,computed,3225.604278249997,48467.53572175
RIOT,crypto-equity,override,1.0,letf,3.827576298964994,computed,2670.1129840600006,71039.58701594
ONDS,drones,override,1.0,letf,3.4686835559571576,computed,2552.6232071600007,46467.19679284
RDW,space,override,1.0,letf,3.749036999495683,computed,2135.16369448,9991.07630552
UUUU,nuclear,override,1.0,letf,2.677426564567237,computed,2120.5864985599983,26906.61350144
MU,semis,override,1.0,letf,3.1302690070030694,computed,1739.3140584799985,61083.72594152
USAR,industrials,override,1.0,letf,3.040864297428169,computed,1699.388852571199,17475.8911474288
SVIX,other,default,0.1,volatility_etp,3.650087775125126,computed,1690.729956960001,11750.08995696
BULL,crypto-equity,override,1.0,letf,2.5193406213489884,computed,1343.723801472,3208.116198528
CVNA,consumer,override,1.0,passive_low_delta,2.31905558736976,computed,1217.9,1217.9
ACHR,evtol,override,1.0,letf,2.956593445672337,computed,1079.7298549999996,8206.510145
APP,software,override,1.0,letf,2.14443573866243,computed,1050.6200150999998,8884.7799849
PLUG,clean,override,1.0,letf,2.640700478240554,computed,933.1853258732,7992.6546741268
ORCL,mega-cap-tech,override,1.0,letf,1.826240798068687,computed,856.3109149599998,6508.88908504
PONY,china,override,1.0,letf,3.2486305265124287,computed,836.5378164800004,8242.56218352
XRPZ,crypto,override,1.0,letf,2.694504240973505,computed,825.543357874998,23606.976642125
BBAI,software,override,1.0,letf,3.0555413304637407,computed,762.8971371047992,15518.1028628952
PL,space,override,1.0,letf,2.664894242213652,computed,717.409847779998,18159.49015222
UEC,nuclear,override,1.0,letf,2.793883792120053,computed,676.8213702399989,13287.15862976
ETHA,crypto,override,1.0,letf,2.96948281034266,computed,659.3626744100002,21162.15732559
TSUI,industrials,override,1.0,letf,2.3185003790928915,computed,576.4826533515998,16720.0517466484
ZETA,software,override,1.0,letf,2.629444382756858,computed,543.2112334600006,6206.92876654
PLTR,software,override,1.0,letf,1.7903566787716079,computed,534.2744764399993,9704.92552356
U,software,override,1.0,letf,2.286115823655005,computed,512.9301207567996,8585.229879243201
QS,clean,override,1.0,letf,3.11125513860868,computed,431.1214585799999,4375.89854142
RKT,fintech,override,1.0,letf,2.0327659224857544,computed,410.79254616000026,6803.8474538400005
EWY,intl,override,1.0,letf,2.584677129398439,computed,410.73750047999965,10251.56249952
LAC,metals,override,1.0,letf,2.087658167721897,computed,373.8809683391996,5313.619031660801
GDX,metals,override,1.0,letf,1.7025260061014063,computed,355.9069844200005,6686.73301558
SOUN,software,override,1.0,letf,3.0227970436445264,computed,341.3936230300001,3246.60637697
FIGR,software,override,1.0,letf,2.8557455640484393,computed,340.2360500858995,7591.8839499141
SOEZ,broad,override,1.0,letf,2.631536513449184,computed,328.23056324999925,8574.45123675
RDDT,software,override,1.0,letf,1.9176130034891206,computed,328.13691247999986,6155.86308752
EOSE,clean,override,1.0,letf,3.844981710659709,computed,321.652562108,45807.067437892
AVGO,semis,override,1.0,letf,2.125126388326301,computed,321.0722228,4263.767777200001
BLSH,crypto-equity,override,1.0,letf,2.676300106053648,computed,320.4506863872007,7788.129313612799
MRVL,semis,override,1.0,letf,2.846530170374213,computed,316.3243987999999,4158.875601199999
UPST,fintech,override,1.0,letf,2.773280740847529,computed,285.4064125,6912.5935875
GDXJ,metals,override,1.0,letf,1.9556840709779264,computed,281.12904000000003,3055.19096
SBET,crypto-equity,override,1.0,letf,3.552236004355174,computed,266.1167525000001,12836.6632475
SNAP,software,override,1.0,letf,1.9450162831953806,computed,265.6749542399998,4752.36504576
GLW,semis,override,1.0,letf,2.5531940209964326,computed,258.47954948000006,3683.92045052
QUBT,quantum,override,1.0,letf,3.657343380536942,computed,257.6082275999979,17795.1317724
TDOG,software,override,1.0,letf,2.1078261861245338,computed,254.18998735919968,6934.729212640801
AFRM,fintech,override,1.0,letf,2.5912790759539495,computed,240.47826423000012,4259.08173577
SOFI,fintech,override,1.0,letf,2.546608447289008,computed,236.1546684799996,7390.64533152
PAAS,metals,override,1.0,letf,1.812445925817611,computed,219.9626418435,4897.5408021565
SHOP,software,override,1.0,letf,2.1492424343633747,computed,218.66885565119992,4976.8511443488
ARM,semis,override,1.0,letf,3.080000081735935,computed,216.51380607999957,8161.30619392
