etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.027229,0.75
ASTN,ASTS,-1.995627,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.005747,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.991419,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.001884,0.75
CONI,COIN,-1.924901,0.75
CRCD,CRCL,-1.99401,0.75
CORD,CRWV,-2.005489,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.002179,0.75
SDOW,DIA,-2.998984,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-2.005145,0.75
BTCZ,IBIT,-1.995728,0.75
IONZ,IONQ,-2.021057,0.75
IREZ,IREN,-2.014457,0.75
TWM,IWM,-2.002053,0.75
TZA,IWM,-2.99591,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.004122,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.974758,0.75
MSTZ,MSTR,-1.994524,0.75
SMST,MSTR,-1.968719,0.75
MUZ,MU,-2.0,0.75
NBIZ,NBIS,-2.033594,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.001393,0.75
NVDS,NVDA,-1.494538,0.75
OKLS,OKLO,-2.001121,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-1.996055,0.75
QID,QQQ,-1.99615,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.987954,0.75
RKLZ,RKLB,-2.00239,0.75
SMCZ,SMCI,-2.002454,0.75
SNDQ,SNDK,-2.02372,0.75
HIBS,SPHB,-3.006977,0.75
SPXS,SPY,-2.994254,0.75
SPXU,SPY,-2.992672,0.75
UVIX,SVIX,-1.984623,0.75
TBT,TLT,-1.999487,0.75
TBX,TLT,-1.370788,0.75
TMV,TLT,-2.99002,0.75
TSDD,TSLA,-2.009813,0.75
STSM,TSM,-1.995585,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.740933,0.75
DUG,XLE,-1.991245,0.75
SKF,XLF,-1.997188,0.75
FNGD,XLK,-2.902449,0.75
REW,XLK,-2.006465,0.75
TECS,XLK,-2.997978,0.75
WEBS,XLK,-2.761792,0.75
DRIP,XOP,-1.99713,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
