underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
ASTS,"ASTN, ASTS, ASTX",16831.969158480002,53972.11643352001,3
SOXX,"SOXL, SOXX",10703.38606248,19109.11393752,2
NBIS,"NBIG, NBIL, NBIS, NBIZ, NEBX",8762.63108703801,101845.27541907801,5
LITE,"LITE, LITX, LITZ",8227.591364959997,44807.21157824,3
BE,"BE, BEG, BEX, BEZ",7887.879936163599,76409.5956478364,4
CRWV,"CORD, CRWG, CRWU, CRWV, CWVX, CWY",6024.238997290003,89409.66586921,6
RKLB,"RKLB, RKLX, RKLZ",5553.6089875,24424.510371099997,3
QBTS,"QBTS, QBTX, QBTZ, QBY",5470.855173414604,60864.131478665404,4
MARA,"MAAY, MARA, MRAL",4269.045616464999,59203.594383535004,3
RCAT,"RCAT, RCAX",3831.6490841199957,49742.91091588,2
FLY,"FLY, FLYT",3225.604278249997,48467.53572175,2
RIOT,"RIOT, RIOX, RTYY",2670.1129840600006,71039.58701594,3
ONDS,"ONDG, ONDL, ONDS",2552.6232071600007,46467.19679284,3
RDW,"RDW, RDWU",2135.16369448,9991.07630552,2
UUUU,"UUUG, UUUU",2120.5864985599983,26906.61350144,2
MU,"MU, MULL, MUU, MUYY",1739.1440916899992,61083.895908310005,4
USAR,"USAR, USGG",1699.388852571199,17475.8911474288,2
SVIX,"SVIX, UVIX",1690.729956960001,11750.08995696,2
BULL,"BULG, BULL",1343.723801472,3208.116198528,2
CVNA,CVNA,1217.8999999999999,1217.8999999999999,1
ACHR,"ACHR, ARCX",1079.7298549999996,8206.510145,2
APP,"APP, APPX",1050.6200150999998,8884.7799849,2
PLUG,"PLUG, PLUL",933.1853258731999,7992.6546741268,2
ORCL,"ORCL, ORCU, ORCX",856.3109149599998,6508.88908504,3
PONY,"PONX, PONY",836.5378164800004,8242.56218352,2
XRPZ,"UXRP, XRPT, XRPZ, XXRP",825.543357874998,23606.976642125,4
BBAI,"BAIG, BBAI",762.8971371047992,15518.102862895199,2
PL,"PL, PLU",717.409847779998,18159.49015222,2
UEC,"UEC, UECG",676.8213702399989,13287.15862976,2
ETHA,"ETHA, ETHT, ETHU, ETU",659.3626744100002,21162.15732559,4
TSUI,"TSUI, TXXS",576.4826533515998,16720.0517466484,2
ZETA,"ZETA, ZETX",543.2112334600006,6206.92876654,2
PLTR,"PLTA, PLTG, PLTR, PLTU, PTIR",534.2744764399993,9704.92552356,5
U,"U, UNX",512.9301207567996,8585.229879243201,2
