etf,underlying,delta,partial_hedge_ratio
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.031225,0.75
CONI,COIN,-1.0,0.75
CRCD,CRCL,-2.00929,0.75
CORD,CRWV,-2.003914,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-1.989663,0.75
SDOW,DIA,-2.989293,0.75
DKUP,DKNG,-1.0,0.75
BTCZ,IBIT,-1.992667,0.75
IREZ,IREN,-1.0,0.75
TWM,IWM,-2.003127,0.75
TZA,IWM,-2.9917,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.0,0.75
MSTZ,MSTR,-1.982359,0.75
NBIZ,NBIS,-1.0,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVDS,NVDA,-1.452171,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-1.0,0.75
QID,QQQ,-1.993801,0.75
QSX,QS,-1.0,0.75
RKLZ,RKLB,-1.0,0.75
TSXD,SOXX,-1.892109,0.75
HIBS,SPY,-4.472712,0.75
SPXS,SPY,-2.898542,0.75
SPXU,SPY,-2.893347,0.75
UVIX,SVIX,-1.0,0.75
TBT,TLT,-1.982803,0.75
TBX,TLT,-0.428203,0.75
TMV,TLT,-2.963602,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.465557,0.75
DUG,XLE,-1.975363,0.75
SKF,XLF,-2.003527,0.75
FNGD,XLK,-2.836008,0.75
REW,XLK,-1.998673,0.75
TECS,XLK,-2.961995,0.75
TTXD,XLK,-1.843902,0.75
WEBS,XLK,-2.243626,0.75
DRIP,XOP,-1.998985,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
