symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
DUST,flow_program,14836.900628,14836.900628,1
ZSL,flow_program,12920.40906624,12920.40906624,1
LABD,flow_program,11358.44958248,11358.44958248,1
SQQQ,flow_program,10838.09590116,10838.09590116,1
FAZ,flow_program,10606.352332800001,10606.352332800001,1
SOXS,flow_program,9967.713793800001,9967.713793800001,1
SDS,flow_program,9450.869810199998,9450.869810199998,1
TSLQ,flow_program,9043.5451392,9043.5451392,1
NVDQ,flow_program,8940.92133072,8940.92133072,1
EWV,flow_program,462.68375399999996,462.68375399999996,1
TSYY,flow_program,-23.729876400000002,23.729876400000002,1
NVYY,flow_program,-29.15060106,29.15060106,1
TQQY,flow_program,-139.4902421184,139.4902421184,1
