underlying,net_notional_usd,gross_notional_usd
CRCL,2517.543847600001,18525.8161524
MSFT,1645.1217718300031,54265.878228170004
SMCI,1360.4239915199998,4108.15600848
XRPZ,1347.7343920000021,35314.065608000004
PANW,1063.0841394536,34780.79586054641
GOOGL,1056.4795300800015,30311.04046992
META,1045.1607541500007,27414.99924585
NFLX,953.3272512600051,55053.39274874
AMZN,892.8140250600027,33509.02597494
MU,829.9901739199986,14991.209826080001
IBIT,820.6146922210019,66583.865307779
KWEB,802.7889026800003,14411.851097320001
NBIS,719.9169957600025,21342.80300424
CRML,693.8657968768002,30275.374203123203
FIG,691.7396147000009,12342.7803853
CEG,690.7203439999994,19948.779656
BA,665.8433935963003,28404.3166064037
NVDA,661.3194249077975,63111.48057509219
MSTR,651.2591328519993,37498.740867148
LEU,635.4487053989997,20123.591294601
COIN,631.20643814,8420.79356186
BE,608.7811595599997,6685.21884044
CRM,601.4641058400011,18066.57589416
FXI,596.1223665599991,17144.557633440003
SOFI,542.1248798530996,15423.0751201469
SMR,536.2974519836935,49572.8225480163
RBLX,533.4850227999996,12776.5149772
CRDO,528.6872617499994,10905.51273825
ETHA,497.38894842000445,46390.531051579994
AAPL,484.84787948399753,30718.512120516
EWY,479.8983610399998,4412.60163896
U,467.0596016658001,4757.2603983342
URA,462.05796569999984,14091.3220343
MRNA,460.4960089999995,16379.023991000002
INTC,456.8235844999999,15669.136415500001
SOEZ,439.1869399999996,17411.35706
ACHR,426.06487751999975,3375.83512248
UPST,425.3213348999998,7395.078665100001
UBER,400.4869196160007,15658.993080384
MDB,391.31735622999986,11281.64264377
OSCR,380.7142944824998,3372.6457055174997
EWW,369.02029696,4558.259703039999
SNOW,355.9439616000009,16100.736038399999
UPS,353.3908093919997,3781.0891906079996
QBTS,352.3842585599996,20675.21574144
KTOS,350.1432900000002,3834.31671
UEC,349.3030122279997,14265.216987771999
HOOD,347.90460775999964,8632.49539224
AAL,332.23464423120026,3694.7253557688
ZETA,325.5679986711998,3873.4320013288
PLTR,323.29829676000236,70565.94170324
BABA,310.4438079999991,13743.316192000002
RKT,309.2092049983994,12783.8707950016
ADBE,303.342073,3518.5779270000003
ASTS,301.55492210000193,18312.165077899997
GDXJ,300.44788174999985,3651.99211825
QCOM,299.8595471999997,14883.200452799998
ETOR,299.6193280368002,5159.4806719632
RDW,297.8091363215999,8317.790863678401
SHOP,293.7497490000003,3887.650251
UUUU,288.5211494700002,6213.078850529999
RDDT,285.1456428800002,5976.37435712
TSM,280.17092337050053,27179.8290766295
MARA,278.58016878000126,17310.41983122
CLSK,272.54358539999976,10936.0564146
OPEN,270.619175800799,7551.1808241992
ALAB,269.4611131599995,17751.01888684
GSOL,262.7503535087999,25767.7296464912
F,257.6952737935999,11345.5047262064
ISRG,251.42149223160004,5411.4985077684
NOW,246.4500923052001,3939.5499076948
XYZ,246.29526165519997,4065.7847383447997
LLY,238.58690860000002,3373.4930913999997
ASHR,220.32454743000017,14769.71545257
RTX,212.26251227800003,4055.737487722
PLUG,211.17516800000158,19198.864832
OKLO,206.92223039999953,11774.357769600001
AVGO,203.08895548000146,33535.651044520004
BMNR,201.4259055599996,17894.574094440002
CORZ,194.19112960000166,16756.908870400002
LMT,189.6877198799998,3471.3322801199997
PYPL,180.46770693309986,4240.5322930669
UNH,176.70345453999926,15070.976545459998
SBUX,175.36803929099983,4239.671960709
BIDU,172.93452184800026,4103.205478152
ARKK,168.9509635139998,4247.049036486
ORCL,166.0436831999998,4246.6563168
DNN,162.47341468799982,4239.066585312
ORLY,158.83283217200005,4240.667167828
ASML,153.65359327999977,16639.38640672
DDOG,131.14701413999956,4281.37298586
SNPS,126.96850208000001,4029.23149792
CMG,125.01387655680082,13241.0661234432
APP,123.76417248000007,5978.97582752
TEM,118.32690360000015,13651.7330964
FCX,117.59128194749974,4513.7687180525
LAC,114.80272873800004,10591.897271261998
CRWD,108.64882912000007,3821.2511708800002
VALE,105.30669358370005,4474.6533064162995
NOK,99.21199626639964,4240.2880037336
SNAP,94.65798616000029,3096.86201384
BULL,90.12501399999996,3942.054986
IREN,85.10672354039889,17432.0132764596
NEM,74.12834708600008,3094.5116529139996
MRVL,53.863131983998755,23036.136868016
DKNG,46.62,46.62
SATS,16.741023536000284,6855.338976464
CRWV,-5.373734249998961,17439.57373425
NU,-30.508602630000496,14816.488602630001
TSLA,-36.683284080001826,37573.62328408
CIFR,-38.98843075769946,11853.7084307577
LRCX,-44.403463999999985,4821.203464
OKTA,-59.09555421680034,4971.735554216801
GLXY,-61.323609720000604,12372.72360972
APH,-79.54194632500025,4174.261946325
CLS,-110.07408166000027,3728.31408166
AMD,-113.0463779556012,51866.2863779556
QQQ,-139.41097578720002,139.41097578720002
WDC,-147.08784779999996,4963.887847800001
VRT,-149.56228490000103,18028.302284899997
CSCO,-183.44457957600025,17649.204579576
COPX,-202.45449118760007,12758.4544911876
COST,-263.56656349880086,15844.686563498803
LITE,-321.52860720000035,6737.4486072
SRPT,-326.7001425599992,13322.88014256
GDX,-343.6102762800001,27898.61027628
NNE,-381.12746399999924,23719.927464
XLE,-386.68462199999885,19855.484622000004
HUT,-402.03260928000054,13182.03260928
WULF,-415.5256560000016,19360.485656
PBR,-417.74753112589997,5908.2475311259
KLAC,-436.8904781800029,19231.17047818
TER,-439.46028091599874,20928.420280915998
XOP,-441.9472301399983,23512.66723014
DELL,-508.1460664799997,6169.26606648
GEV,-569.3253747500003,18757.525374750003
XOM,-846.332184320001,19368.89218432
RCAT,-896.7345415128038,24148.4145415128
