symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,18809.185977036002,18809.185977036002,1
DUST,flow_program,13145.5692288,13145.5692288,1
ZSL,flow_program,11579.847154199999,11579.847154199999,1
SDS,flow_program,10935.194231819998,10935.194231819998,1
FAZ,flow_program,9554.564986399999,9554.564986399999,1
TSLQ,flow_program,8440.360140300001,8440.360140300001,1
SQQQ,flow_program,8292.192708800001,8292.192708800001,1
LABD,flow_program,7858.085483499999,7858.085483499999,1
NVDQ,flow_program,6266.27591499,6266.27591499,1
EWV,flow_program,3151.8750578219997,3151.8750578219997,1
SOXS,flow_program,1646.6736831599999,1646.6736831599999,1
TSYY,flow_program,-67.60892424,67.60892424,1
NVYY,flow_program,-98.37620926200002,98.37620926200002,1
TQQY,flow_program,-472.1742821376001,472.1742821376001,1
