etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.025605,0.75
ASTN,ASTS,-1.996697,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.006964,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.990543,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-1.998152,0.75
CONI,COIN,-1.925959,0.75
CRCD,CRCL,-1.996924,0.75
CORD,CRWV,-2.011374,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.002326,0.75
SDOW,DIA,-2.999304,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-2.011169,0.75
BTCZ,IBIT,-1.997038,0.75
IONZ,IONQ,-2.018729,0.75
IREZ,IREN,-2.014221,0.75
TWM,IWM,-2.002463,0.75
TZA,IWM,-2.996358,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.001668,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.969082,0.75
MSTZ,MSTR,-1.993223,0.75
SMST,MSTR,-1.967791,0.75
MUZ,MU,-2.0,0.75
NBIZ,NBIS,-2.039615,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.002294,0.75
NVDS,NVDA,-1.495541,0.75
OKLS,OKLO,-2.001637,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-1.997478,0.75
QID,QQQ,-1.996698,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.987785,0.75
RKLZ,RKLB,-2.003207,0.75
SMCZ,SMCI,-1.999204,0.75
SNDQ,SNDK,-2.02254,0.75
SNK,SPCX,-2.0,0.75
SPCG,SPCX,-2.0,0.75
SSPC,SPCX,-2.0,0.75
HIBS,SPHB,-3.006207,0.75
SPXS,SPY,-2.995052,0.75
SPXU,SPY,-2.993242,0.75
UVIX,SVIX,-1.985572,0.75
TBT,TLT,-1.999372,0.75
TBX,TLT,-1.370422,0.75
TMV,TLT,-2.989768,0.75
TSDD,TSLA,-2.008958,0.75
STSM,TSM,-1.995389,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.741052,0.75
DUG,XLE,-1.990474,0.75
SKF,XLF,-1.99754,0.75
FNGD,XLK,-2.907882,0.75
REW,XLK,-2.007102,0.75
TECS,XLK,-2.99837,0.75
WEBS,XLK,-2.759029,0.75
DRIP,XOP,-1.995713,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
