underlying,symbols,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
MSTR,"MSTR, MSTW, MTYY",637.3661101161373,5179.962177601009,0.0,0.0,-3932.55,-270.22,58.74237400577447,0.0,0.0,1673.300661722921
COIN,"COIN, COIW",2080.61006629801,-1219.9456656559657,0.0,0.0,-136.06,-13.67,0.0,0.0,0.0,710.9344006420442
PLTR,"PLTR, PLTW",84.77083050187746,886.6107657460826,0.0,0.0,-299.99,-6.71,4.045412375896287,0.0,0.0,668.7270086238564
META,"FBYY, META, METW",315.0707149155714,821.9091825549658,0.0,0.0,-515.95,-72.03999999999999,13.662801816881716,0.0,0.0,562.652699287419
MSFT,"MSFT, MSFW",38.27551575,315.8433333892982,8.744794429554254,0.0,-154.47,-8.73,4.064426995715523,0.0,0.0,203.72807056456793
ARM,"ARM, ARMW",177.08349552,0.0,0.0,0.0,-140.34,-15.81,0.0,0.0,0.0,20.933495520000008
SPY,"JEPI, SPY, SPYI, XYLD, XYLG",4.239159799999991,0.0,-0.34,0.0,-64.38,-26.71,0.0,0.0,0.0,-87.19084020000001
NFLX,"NFLW, NFLX",506.86735050326286,-380.47535784500957,0.0,0.0,-258.64,-19.34,6.5704873159176165,0.0,0.0,-145.01752002582907
MARA,"MAAY, MARA",-6.86933126,1843.8027565012621,0.0,0.0,-1910.55,-131.96,25.060284211316468,0.0,0.0,-180.51629054742125
AMZN,"AMZN, AMZW",819.5489131562528,-1126.4337664436598,0.0,0.0,-99.67,-9.91,0.0,0.0,0.0,-416.464853287407
QQQ,"JEPQ, QQQ, QQQX, QYLD, QYLG",-399.36648267000004,0.0,0.0,0.0,-59.99,-18.28,0.0,0.0,0.0,-477.6364826700001
HOOD,"HOOD, HOOW",-35.1744957,-789.4393434120175,0.0,0.0,-386.65,-8.02,4.968821119561263,0.0,0.0,-1214.3150179924564
TSLA,"TSLA, TSLW",634.7165929093901,-2628.3074575143323,0.0,0.0,-192.4,-28.3,0.0,0.0,0.0,-2214.290864604942
IBIT,"IBIT, XBTY",7.902837026743089,-1747.0738103156305,-0.15,0.0,-865.34,-32.77,15.46679133484493,0.0,0.0,-2621.964181954043
