symbol,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
AZYY,GRANITE YIELDBOOST AMZN ETF,149.34178575,0.0,0.0,0.0,-43.59,-6.33,0.0,0.0,0.0,99.42178575000001
TQQY,GRANITE YIELDBOOST QQQ,159.88451495,8.990673,0.0,0.0,-103.09,-11.84,0.16466854931712616,0.0,0.0,54.10985649931712
TSYY,GRANITE YIELDBOOST TSLA ETF,0.0,3.595816,0.0,0.0,-1.9100000000000001,0.0,0.045310549197258576,0.0,0.0,1.7311265491972585
NVYY,GRANITE YIELDBOOST NVDA,104.42386226,3.847413,0.0,0.0,-147.3,-6.640000000000001,0.04087241765666392,0.0,0.0,-45.62785232234334
NVDQ,T-REX 2X INVERSE NVIDIA DLY,0.0,-344.98423,0.0,0.0,0.0,-34.11,6.336486830439764,0.0,0.0,-372.7577431695603
EWV,PROSHARES ULTSHRT MSCI JAPAN,-403.14137552,-12.772977,0.0,0.0,0.0,-2.39,0.17190825139272117,0.0,0.0,-418.1324442686073
SQQQ,PROSHARES ULTRAPRO SHORT QQQ,0.0,-418.538703,0.0,0.0,0.0,-6.34,5.008500789366392,0.0,0.0,-419.8702022106336
SOXS,DIREXION DAILY SEMI BEAR 3X,0.0,-444.519684,0.0,0.0,0.0,-14.16,4.962496782115915,0.0,0.0,-453.7171872178841
SDS,PROSHARES ULTRASHORT S&P500,0.0,-484.931713,0.0,0.0,0.0,-11.77,6.66065073199701,0.0,0.0,-490.041062268003
FAZ,DIREXION DAILY FIN BEAR 3X,0.0,-488.441031,0.0,0.0,0.0,-19.92,4.995616338737603,0.0,0.0,-503.36541466126243
LABD,DRX DLY S&P BIOTECH BEAR 3X,0.0,-488.929621,0.0,0.0,0.0,-24.77,5.121562190363041,0.0,0.0,-508.57805880963696
TSLQ,TRADR 2X SHORT TSLA DAILY ET,0.0,-811.818026,0.0,0.0,0.0,-6.4799999999999995,7.312223918800563,0.0,0.0,-810.9858020811995
ZSL,PROSHARES ULTRASHORT SILVER,0.0,-3000.417632,0.0,0.0,0.0,-63.12,9.27530658333303,0.0,0.0,-3054.262325416667
DUST,DIREXION DAILY GOLD MINERS I,-3.4059583,-4024.869378,0.0,0.0,0.0,-32.19,11.39537428195297,0.0,0.0,-4049.0699620180467
