arm,turnover_pace_mode,turnover_usd,turnover_l1,txn_cost_usd,start_usd,end_usd,total_return,cagr,vol,sharpe,maxdd,hedge_breach_group_days,hedge_too_long_group_days,hedge_too_short_group_days,max_abs_hedge_net_pct,orphan_pair_days,missing_delta_rows,missing_delta_group_days,raw_all_sleeve_hedge_breach_group_days,raw_all_sleeve_hedge_too_long_group_days,raw_all_sleeve_hedge_too_short_group_days,raw_all_sleeve_max_abs_hedge_net_pct,raw_all_sleeve_missing_delta_rows,raw_all_sleeve_missing_delta_group_days,median_deployed_desired_gross_ratio,p10_deployed_desired_gross_ratio,ending_deployed_desired_gross_ratio,deployment_observation_days,n_b4_cadence_rebals,explicit_hedge_blocker_count,avoided_round_trip_usd,risk_override_turnover_usd,same_run_churn_enabled,max_deferred_age,p95_deferred_age,deferred_turnover_usd,blocked_reason_counts_json
full_chase_off,off,29626259.951628912,26.94456858902242,66973.75422596185,1050000.0,1264278.6850953165,0.20407493818601563,0.6466756627037422,0.1297300726602783,3.988850835680118,-0.029427394319730293,8879,2563,6316,0.720427978653294,0,0,0,9158,2884,6274,0.720427978653294,0,0,1.036294804713416,0.897797267140117,0.7457418239501262,92,29,0,0.0,0.0,True,0,0.0,0.0,{}
current_pacing_legacy,legacy,7181214.20721365,6.750767410640993,16266.382205027463,1050000.0,1107594.4754866976,0.05485188141590247,0.15420905197536494,0.09142408820412033,1.645476511874105,-0.019149650524460493,1309,748,561,0.5994320952886822,0,0,0,1755,1107,648,0.7223493976146566,0,0,0.4584715400283773,0.3464054418830929,0.4856911880942222,92,29,0,0.0,0.0,True,0,0.0,0.0,{}
hedge_safe_v1,hedge_safe_v1,9176540.315396424,8.495978166148472,20471.35875239852,1050000.0,1157650.5588721388,0.1025243417829893,0.29969166051094676,0.09783263511911282,2.7822965939113313,-0.021606511705323794,9,9,0,0.06567118039110946,0,0,0,419,305,114,0.5147597701914942,0,0,0.8656928003738966,0.6152839957961199,0.8215262234892974,92,29,0,0.0,1902329.8037227013,True,11,4.0,54322715.51621263,"{""drop_confirmation"": 381, ""entry_confirmation"": 849, ""turnover_budget"": 143}"
