arm,turnover_pace_mode,turnover_usd,turnover_l1,txn_cost_usd,start_usd,end_usd,total_return,cagr,vol,sharpe,maxdd,hedge_breach_group_days,hedge_too_long_group_days,hedge_too_short_group_days,max_abs_hedge_net_pct,orphan_pair_days,missing_delta_rows,missing_delta_group_days,raw_all_sleeve_hedge_breach_group_days,raw_all_sleeve_hedge_too_long_group_days,raw_all_sleeve_hedge_too_short_group_days,raw_all_sleeve_max_abs_hedge_net_pct,raw_all_sleeve_missing_delta_rows,raw_all_sleeve_missing_delta_group_days,median_deployed_desired_gross_ratio,p10_deployed_desired_gross_ratio,ending_deployed_desired_gross_ratio,deployment_observation_days,n_b4_cadence_rebals,explicit_hedge_blocker_count,avoided_round_trip_usd,risk_override_turnover_usd,same_run_churn_enabled,max_deferred_age,p95_deferred_age,deferred_turnover_usd,blocked_reason_counts_json,target_blend_alpha,max_daily_turnover_pct,remaining_gap_rate,post_blocker_hedge_breaches,hedge_safety_pass,deployment_pass,b4_cadence_pass,hard_gates_pass,turnover_target_pass,p10_deployment_preferred,stable_region_pass,selected
hedge_safe_a0.27_t0.15_r0.20,hedge_safe_v1,9614469.004653445,8.897502798675298,21466.558009665,1050000.0,1162026.00143428,0.1066914299374095,0.3129264979201032,0.0999705220411136,2.8283536359247243,-0.0225865145700193,9,9,0,0.0669645144594305,0,0,0,424,307,117,0.5147482195225009,0,0,0.8695029119392352,0.6241760522258157,0.8282879807420841,92,29,0,0.0,2007754.05548121,True,11,4.0,55540036.474153385,"{""drop_confirmation"": 381, ""entry_confirmation"": 849, ""turnover_budget"": 89}",0.27,0.15,0.2,9,True,True,True,True,True,True,True,False
hedge_safe_a0.27_t0.15_r0.25,hedge_safe_v1,10046132.573987689,9.279534273054914,22440.0748695888,1050000.0,1167153.5641551227,0.1115748230048787,0.3285436078602097,0.1021238985785678,2.8890207382170594,-0.023654450637579,9,9,0,0.0801727813802946,0,0,0,425,316,109,0.5077543478153811,0,0,0.8932088402591867,0.6720199763961983,0.8428165429243056,92,29,0,0.0,2032544.6406545728,True,10,4.0,51844082.28479956,"{""drop_confirmation"": 381, ""entry_confirmation"": 849, ""turnover_budget"": 89}",0.27,0.15,0.25,9,True,True,True,False,False,True,True,False
hedge_safe_a0.30_t0.12_r0.20,hedge_safe_v1,10286621.617806876,9.515529854436698,22977.81068386045,1050000.0,1166913.887041527,0.1113465590871687,0.3278110355040231,0.1028881714193186,2.862842082904489,-0.0235121491555414,9,9,0,0.068284862600532,0,0,0,408,296,112,0.5147392530008694,0,0,0.8738111440543912,0.6282770072397683,0.8266802767753774,92,29,0,0.0,2117866.777722981,True,11,4.0,57399688.91174863,"{""drop_confirmation"": 381, ""entry_confirmation"": 849, ""turnover_budget"": 148}",0.3,0.12,0.2,9,True,True,True,False,False,True,False,False
hedge_safe_a0.30_t0.12_r0.25,hedge_safe_v1,10738257.19685426,9.93028127688853,23996.116559449623,1050000.0,1170026.2176669938,0.114310683492375,0.3373436115788215,0.1044430440021328,2.891662931293385,-0.0245606614031206,9,9,0,0.0817618573459721,0,0,0,415,309,106,0.507737572362614,0,0,0.8991790899793968,0.6718539181738171,0.8447578262097822,92,29,0,0.0,2128993.413180142,True,10,4.0,53514536.74999897,"{""drop_confirmation"": 381, ""entry_confirmation"": 849, ""turnover_budget"": 178}",0.3,0.12,0.25,9,True,True,True,False,False,True,False,False
hedge_safe_a0.30_t0.15_r0.20,hedge_safe_v1,10282145.053758057,9.511465017750323,22968.65133494281,1050000.0,1166840.833951396,0.1112769847156152,0.3275877993881968,0.1028665495674037,2.8617538226108787,-0.0235165599128085,9,9,0,0.0682853349219989,0,0,0,408,296,112,0.5147389082489229,0,0,0.8738348226376939,0.6318258841209528,0.8266566461982987,92,29,0,0.0,2119643.040451982,True,11,4.0,57306700.27142829,"{""drop_confirmation"": 381, ""entry_confirmation"": 849, ""turnover_budget"": 89}",0.3,0.15,0.2,9,True,True,True,False,False,True,False,False
hedge_safe_a0.30_t0.15_r0.25,hedge_safe_v1,10742189.780464957,9.933823453675313,24005.12893174954,1050000.0,1170063.6897825906,0.1143463712215149,0.3374586435776512,0.1044561166524583,2.8921546628379264,-0.0245824744172755,9,9,0,0.0817562140254042,0,0,0,415,309,106,0.5077378202087496,0,0,0.899257988936141,0.6804494662230618,0.8447325187803626,92,29,0,0.0,2132954.2696550325,True,10,4.0,53337796.199129,"{""drop_confirmation"": 381, ""entry_confirmation"": 849, ""turnover_budget"": 92}",0.3,0.15,0.25,9,True,True,True,False,False,True,False,False
hedge_safe_a0.35_t0.12_r0.20,hedge_safe_v1,11386813.794433167,10.53243591038561,25443.06559849785,1050000.0,1172497.1402266172,0.1166639430729687,0.3449421587817884,0.1060607763425774,2.9036784022393567,-0.0240033047505462,5,5,0,0.0694090065808008,0,0,0,395,287,108,0.5147228614417962,0,0,0.875734546857164,0.6367319876373367,0.8209644839557205,92,29,0,0.0,2277395.061123505,True,11,4.0,60252612.45341347,"{""drop_confirmation"": 381, ""entry_confirmation"": 849, ""turnover_budget"": 194}",0.35,0.12,0.2,5,True,True,True,False,False,True,False,False
hedge_safe_a0.35_t0.12_r0.25,hedge_safe_v1,11907972.16292412,10.996479125415751,26640.7514142278,1050000.0,1177790.4892857338,0.121705227891175,0.361311256252619,0.108658254007314,2.950472077802196,-0.0251333389539838,9,9,0,0.0831432215017783,0,0,0,418,317,101,0.5077298630036109,0,0,0.9017405458344974,0.6829249486965112,0.8376924676874729,92,29,0,0.0,2238865.1807002206,True,9,4.0,56227953.67862469,"{""drop_confirmation"": 381, ""entry_confirmation"": 849, ""turnover_budget"": 233}",0.35,0.12,0.25,9,True,True,True,False,False,True,False,False
hedge_safe_a0.35_t0.15_r0.20,hedge_safe_v1,11391743.205116143,10.536260006319964,25452.00247532472,1050000.0,1172753.8877638932,0.116908464537041,0.345733255471838,0.1061309229088193,2.907485596313518,-0.02397399439865,5,5,0,0.0694016056585529,0,0,0,395,287,108,0.5147230075657059,0,0,0.8758553271312228,0.6409787983982471,0.8208604309638375,92,29,0,0.0,2279384.0200467114,True,11,4.0,60096941.44841732,"{""drop_confirmation"": 381, ""entry_confirmation"": 849, ""turnover_budget"": 89}",0.35,0.15,0.2,5,True,True,True,False,False,True,False,False
hedge_safe_a0.35_t0.15_r0.25,hedge_safe_v1,11922027.783934,11.006422940985498,26671.710410781856,1050000.0,1178269.0182425568,0.122160969754816,0.3627971838154,0.1086963947245716,2.9597238975827485,-0.0250782687118102,10,10,0,0.0831597615236933,0,0,0,419,318,101,0.5077303555147171,0,0,0.9014134194959204,0.6941965542459977,0.8378449754576938,92,29,0,0.0,2247211.8296587355,True,9,4.0,55978897.78831497,"{""drop_confirmation"": 381, ""entry_confirmation"": 849, ""turnover_budget"": 96}",0.35,0.15,0.25,10,True,True,True,False,False,True,False,False
hedge_safe_a0.50_t0.12_r0.20,hedge_safe_v1,14247487.78858531,13.149296832349382,31913.125614643886,1050000.0,1188504.53368753,0.1319090797024096,0.3948246226640712,0.1121287122370721,3.08399524848256,-0.0248800561966925,6,6,0,0.0702839396018707,0,0,0,399,289,110,0.5147076077319527,0,0,0.878979693570763,0.6578543860587347,0.7991760503899676,92,29,0,0.0,2410191.491482094,True,11,4.0,67936861.68062137,"{""drop_confirmation"": 381, ""entry_confirmation"": 849, ""turnover_budget"": 268}",0.5,0.12,0.2,6,True,True,True,False,False,True,False,False
hedge_safe_a0.50_t0.12_r0.25,hedge_safe_v1,14974836.24734659,13.818723913906108,33552.740265679175,1050000.0,1190458.6235987933,0.1337701177131365,0.4009922234214764,0.1145990770014372,3.0592347353388627,-0.0268915101199167,8,8,0,0.0842544365016828,0,0,0,415,310,105,0.5077155550515363,0,0,0.9050698479821152,0.7065124563696672,0.8207610777166333,92,29,0,0.0,2458379.6147269662,True,9,4.0,63389081.46868421,"{""drop_confirmation"": 381, ""entry_confirmation"": 849, ""turnover_budget"": 380}",0.5,0.12,0.25,8,True,True,True,False,False,True,False,False
hedge_safe_a0.50_t0.15_r0.20,hedge_safe_v1,14262594.587414464,13.159691907870132,31948.051894174627,1050000.0,1188991.9413908452,0.1323732775150907,0.3963614057360853,0.1122697786411312,3.090275999050464,-0.0248264088852818,6,6,0,0.0702905373301354,0,0,0,399,292,107,0.5147074781141041,0,0,0.8788597002838889,0.6641766025230865,0.799126079991514,92,29,0,0.0,2418793.139646584,True,11,4.0,67590570.42752299,"{""drop_confirmation"": 381, ""entry_confirmation"": 849, ""turnover_budget"": 139}",0.5,0.15,0.2,6,True,True,True,False,False,True,False,False
hedge_safe_a0.50_t0.15_r0.25,hedge_safe_v1,15012737.732672555,13.85250062000251,33641.52119523975,1050000.0,1190827.5493838545,0.134121475603671,0.4021585634330438,0.1147334537762705,3.0631909797492782,-0.0268645668289072,8,8,0,0.0842620740224821,0,0,0,413,306,107,0.507715876412979,0,0,0.9055568771190632,0.7197218376678989,0.8208732849455702,92,29,0,0.0,2484270.533680627,True,9,4.0,62869818.57441803,"{""drop_confirmation"": 381, ""entry_confirmation"": 849, ""turnover_budget"": 149}",0.5,0.15,0.25,8,True,True,True,False,False,True,False,False
hedge_safe_a1.00_t0.12_r0.20,hedge_safe_v1,21180564.20252828,19.840456539121305,47689.35980442725,1050000.0,1164598.8787583243,0.1091417892936423,0.320748268444889,0.1187685517979826,2.448698254017362,-0.0312061004337966,0,0,0,0.0399878704329999,0,0,0,315,229,86,0.5147737951718561,0,0,0.801705448453832,0.5055607511673024,0.7458020364458741,92,23,0,0.0,2510345.647134256,True,11,4.0,98257434.01945114,"{""drop_confirmation"": 339, ""entry_confirmation"": 849, ""turnover_budget"": 1434}",1.0,0.12,0.2,0,True,False,False,False,False,True,False,False
hedge_safe_a1.00_t0.12_r0.25,hedge_safe_v1,22497460.37338332,21.107376453467616,50652.1039510108,1050000.0,1168141.0875635834,0.112515321489127,0.3315646458070904,0.1218748013216485,2.457598041810026,-0.0329078752080391,0,0,0,0.0399878704329998,0,0,0,293,218,75,0.5077614750175166,0,0,0.8171353665992176,0.4932564296677837,0.7721281459146512,92,23,0,0.0,2520768.252438172,True,9,4.0,95546610.3379888,"{""drop_confirmation"": 339, ""entry_confirmation"": 849, ""turnover_budget"": 1690}",1.0,0.12,0.25,0,True,True,False,False,False,False,False,False
hedge_safe_a1.00_t0.15_r0.20,hedge_safe_v1,21906566.03025129,20.48389593599912,49338.173037879904,1050000.0,1168097.4741331933,0.1124737848887555,0.3314311324078991,0.1185664131565694,2.522048131753893,-0.032087499383539,0,0,0,0.0399878704329998,0,0,0,408,301,107,0.5147651547653719,0,0,0.8197448484644926,0.5939543818389743,0.7487858804652633,92,29,0,0.0,2569465.249520166,True,11,4.0,92645082.50735708,"{""drop_confirmation"": 339, ""entry_confirmation"": 849, ""turnover_budget"": 819}",1.0,0.15,0.2,0,True,False,True,False,False,True,False,False
hedge_safe_a1.00_t0.15_r0.25,hedge_safe_v1,23352776.45751039,21.86113061749113,52634.153399626746,1050000.0,1171307.9161949751,0.1155313487571192,0.3412817003714403,0.1214226911577856,2.527456959688821,-0.0348748235495135,0,0,0,0.0399932539225918,0,0,0,402,301,101,0.507754458260915,0,0,0.8572520964417448,0.600661490980063,0.7748457918514194,92,28,0,0.0,2560483.2353393976,True,9,4.0,89357136.92615196,"{""drop_confirmation"": 339, ""entry_confirmation"": 849, ""turnover_budget"": 967}",1.0,0.15,0.25,0,True,True,False,False,False,True,False,False
hedge_safe_a0.27_t0.15_r0.21,hedge_safe_v1,9715329.603669629,8.983715865429852,21694.529121590924,1050000.0,1164814.9161652208,0.109347539204972,0.3214063683877841,0.1004656984590322,2.8803244603125697,-0.0225070150168658,9,9,0,0.0696290373687681,0,0,0,419,305,114,0.5132049632179682,0,0,0.8742446826779442,0.6353229826878565,0.830994955118917,92,29,0,0.0,1994974.225256444,True,11,4.0,54742090.254584834,"{""drop_confirmation"": 381, ""entry_confirmation"": 849, ""turnover_budget"": 89}",0.27,0.15,0.21,9,True,True,True,True,True,True,True,False
hedge_safe_a0.27_t0.15_r0.22,hedge_safe_v1,9781634.941582603,9.046539565700517,21843.10258707786,1050000.0,1163900.0637932443,0.1084762512316612,0.318620925387072,0.1010657640897338,2.842489924306661,-0.0226818654597743,9,9,0,0.0722615215235536,0,0,0,426,313,113,0.51174361933964,0,0,0.8802055998944125,0.6451724286147561,0.8346219701952478,92,29,0,0.0,1980631.263269618,True,11,4.0,53844777.14749762,"{""drop_confirmation"": 381, ""entry_confirmation"": 849, ""turnover_budget"": 89}",0.27,0.15,0.22,9,True,True,True,True,True,True,True,False
